"","118_103","118_118","118_123","118_141","118_187","118_201","118_231","118_233","118_242","118_251","118_363","118_379","118_380","118_381","118_512","118_653","118_685","118_726","118_728","118_733","118_776","118_837","118_907","118_912","118_918","118_1168","118_1174","118_1235","119_22","119_51","119_52","119_57","119_58","119_60","119_69","119_70","119_76","119_77","119_94","119_95","119_109","119_110","119_111","119_113","119_136","119_142","119_144","119_165","119_167","119_181","119_199","119_223","119_224","119_225","119_280","119_293","119_295"
"14854",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14863",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14873",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"15029",-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"15433",-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"15448",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,0,0,-1,-1,1,1,1,-1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
"15454",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"15616",-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20104",-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185,-0.185185185185185
"20107",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
