congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
118,House,103,2023-02-01,1,104,229,197,0.169,-0.794,-0.494,-0.783,-24.256,HJRES7,Passed,"Relating to a national emergency declared by the President on March 13, 2020",On Passage,
118,House,118,2023-02-09,1,119,250,173,-0.261,0.26,-0.414,-0.63,-42.3,HJRES26,Passed,Disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act,On Passage,
118,House,123,2023-02-28,1,124,216,204,-0.043,0.236,-0.702,-0.361,-2.281,HJRES30,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to “Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights”",On Passage,
118,House,141,2023-03-09,1,142,227,198,0.138,-0.276,-0.521,-1.263,-21.596,HJRES27,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to “Revised Definition of ’Waters of the United States’ ”",On Passage,
118,House,187,2023-04-19,1,188,229,189,-0.206,0.346,-0.638,-0.924,-23.72,HJRES42,Passed,Disapproving the action of the District of Columbia Council in approving the Comprehensive Policing and Justice Reform Amendment Act,On Passage,
118,House,201,2023-04-28,1,202,221,202,0.317,-0.598,-0.211,-0.384,-67.347,HJRES39,Passed,"Disapproving the rule submitted by the Department of Commerce relating to “Procedures Covering Suspension of Liquidation, Duties and Estimated Duties in Accord with Presidential Proclamation 10414”",On Passage,
118,House,231,2023-05-23,1,232,221,203,0.046,-0.024,-0.562,-1.092,-9.899,SJRES11,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to “Control of Air Pollution From New Motor Vehicles: Heavy-Duty Engine and Vehicle Standards”",On Passage,
118,House,233,2023-05-24,1,234,218,203,-0.078,0.308,-0.69,-0.46,-2.956,HJRES45,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to “Waivers and Modifications of Federal Student Loans”",On Passage,
118,House,242,2023-05-31,1,243,314,117,0.277,-0.228,0.054,-0.718,-173.196,HR3746,Passed,Fiscal Responsibility Act,On Passage,
118,House,251,2023-06-13,1,252,219,210,0.094,-0.097,-0.347,-0.376,-10.264,HJRES44,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Alcohol, Tobacco, Firearms, and Explosives relating to “Factoring Criteria for Firearms with Attached ’Stabilizing Braces’”",On Passage,
118,House,363,2023-07-20,1,364,351,69,-0.81,0.586,-0.21,-0.338,-150.709,HR3935,Passed,Securing Growth and Robust Leadership in American Aviation Act,On Passage,
118,House,379,2023-07-27,1,380,219,211,-0.172,0.985,-0.529,-0.733,-11.579,HR4366,Passed,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2024, and for other purposes",On Passage,
118,House,380,2023-07-27,1,381,221,206,0.239,-0.572,-0.604,-1.08,-14.624,SJRES9,Passed,"Providing for congressional disapproval under chapter 8 of title 5, U.S. Code, relating to “Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status With Sec. 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment”",On Passage,
118,House,381,2023-07-27,1,382,220,209,0.006,0.168,-0.599,-0.972,-6.377,SJRES24,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to “Endangered and Threatened Wildlife and Plants; Endangered Species Status for Northern Long-Eared Bat”.",On Passage,
118,House,512,2023-09-30,1,513,335,91,0.499,-0.114,0.237,-0.435,-84.42,HR5860,Passed,"Continuing Appropriations Act, 2024 and Other Extensions Act","On Motion to Suspend the Rules and Pass, as Amended",
118,House,653,2023-11-14,1,658,336,95,0.344,-0.359,0.181,-0.545,-97.928,HR6363,Passed,"Further Continuing Appropriations and Other Extensions Act, 2024","On Motion to Suspend the Rules and Pass, as Amended",
118,House,685,2023-12-01,1,690,221,202,-0.14,0.31,-0.692,-0.426,-11.801,SJRES32,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to “Small Business Lending Under the Equal Credit Opportunity Act (Regulation B)”",On Passage,
118,House,726,2024-01-11,2,8,209,198,-0.154,0.669,-0.555,-1.03,-11.064,SJRES38,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Highway Administration relating to “Waiver of Buy America Requirements for Electric Vehicle Chargers”",On Passage,
118,House,728,2024-01-12,2,10,206,177,-0.074,-0.997,-0.452,-0.085,-24.309,HJRES98,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to “Standard for Determining Joint Employer Status”",On Passage,
118,House,733,2024-01-18,2,15,314,108,0.434,-0.063,0.228,-0.603,-88.044,HR2872,Passed,"To amend the Permanent Electronic Duck Stamp Act of 2013 to allow the Secretary of the Interior to issue electronic stamps under such Act, and for other purposes",On Motion to Suspend the Rules and Concur in the Senate Amendment,
118,House,776,2024-02-29,2,58,320,99,0.398,-0.244,0.195,-0.472,-98.614,HR7463,Passed,Extension of Continuing Appropriations and Other Matters Act,On Motion to Suspend the Rules and Pass,
118,House,837,2024-04-12,2,119,273,147,0.144,-0.108,0.091,-1.688,-140.054,HR7888,Passed,Reforming Intelligence and Securing America Act,On Passage,
118,House,907,2024-05-08,2,189,228,182,0.043,-0.618,-0.269,-0.362,-51.433,HJRES109,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Securities and Exchange Commission relating to “Staff Accounting Bulletin No. 121”",On Passage,
118,House,912,2024-05-08,2,194,393,13,-0.987,-0.162,-0.641,-1.951,-37.764,S870,Passed,Fire Grants and Safety Act,"On Motion to Suspend the Rules and Pass, as Amended",
118,House,918,2024-05-15,2,200,387,26,0.727,-0.433,0.163,-0.722,-63.871,HR3935,Passed,Securing Growth and Robust Leadership in American Aviation Act,On Motion to Suspend the Rules and Concur in the Senate Amendment,
118,House,1168,2024-09-25,2,450,341,82,-0.052,-0.976,0.417,-1.49,-85.004,HR9747,Passed,"Continuing Appropriations and Extensions Act, 2025",On Motion to Suspend the Rules and Pass,
118,House,1174,2024-11-12,2,456,327,75,0.616,-0.087,0.177,0.0,-130.411,HR82,Passed,Social Security Fairness Act,On Motion to Suspend the Rules and Pass,
118,House,1235,2024-12-20,2,517,366,34,0.543,-0.602,0.924,-2.367,-57.066,HR10545,Passed,"American Relief Act, 2025",On Motion to Suspend the Rules and Pass,
