congress,chamber,rollnumber,icpsr,cast_code,prob
119,House,1,14854,1,99.6
119,House,1,14863,1,78.2
119,House,1,14873,6,100.0
119,House,1,15029,6,100.0
119,House,1,15433,6,100.0
119,House,1,15448,6,100.0
119,House,1,15454,6,100.0
119,House,1,15616,6,100.0
119,House,1,20107,1,99.9
119,House,1,20119,6,100.0
119,House,1,20122,6,100.0
119,House,1,20124,1,100.0
119,House,1,20138,1,100.0
119,House,1,20145,6,100.0
119,House,1,20301,1,100.0
119,House,1,20305,6,100.0
119,House,1,20310,6,100.0
119,House,1,20316,1,99.0
119,House,1,20321,6,100.0
119,House,1,20322,6,99.7
119,House,1,20342,1,99.3
119,House,1,20344,1,99.9
119,House,1,20356,1,100.0
119,House,1,20501,6,97.4
119,House,1,20504,6,100.0
119,House,1,20517,6,100.0
119,House,1,20521,1,100.0
119,House,1,20529,6,100.0
119,House,1,20530,1,99.9
119,House,1,20533,6,96.8
119,House,1,20537,6,100.0
119,House,1,20538,6,100.0
119,House,1,20706,6,100.0
119,House,1,20708,6,100.0
119,House,1,20709,1,98.8
119,House,1,20712,6,100.0
119,House,1,20725,1,100.0
119,House,1,20729,1,100.0
119,House,1,20733,6,100.0
119,House,1,20738,1,99.9
119,House,1,20748,6,100.0
119,House,1,20749,6,99.9
119,House,1,20755,1,100.0
119,House,1,20756,1,99.9
119,House,1,20757,6,100.0
119,House,1,20758,1,99.7
119,House,1,20759,1,100.0
119,House,1,20903,1,99.6
119,House,1,20907,6,99.9
119,House,1,20916,1,100.0
119,House,1,20920,6,100.0
119,House,1,20927,6,100.0
119,House,1,20934,6,100.0
119,House,1,20946,1,99.9
119,House,1,20952,6,100.0
119,House,1,20954,6,100.0
119,House,1,20955,6,100.0
119,House,1,20958,6,100.0
119,House,1,21100,1,100.0
119,House,1,21102,6,100.0
119,House,1,21103,1,99.1
119,House,1,21105,1,99.7
119,House,1,21106,1,100.0
119,House,1,21108,1,100.0
119,House,1,21116,1,99.9
119,House,1,21118,6,100.0
119,House,1,21123,1,100.0
119,House,1,21139,1,99.6
119,House,1,21140,6,100.0
119,House,1,21142,1,100.0
119,House,1,21167,1,100.0
119,House,1,21178,1,100.0
119,House,1,21179,1,99.9
119,House,1,21191,1,99.0
119,House,1,21196,1,99.9
119,House,1,21198,6,100.0
119,House,1,21302,1,100.0
119,House,1,21303,6,100.0
119,House,1,21304,6,99.9
119,House,1,21306,6,100.0
119,House,1,21307,1,99.8
119,House,1,21308,6,100.0
119,House,1,21311,6,99.9
119,House,1,21312,6,100.0
119,House,1,21314,6,100.0
119,House,1,21315,6,99.6
119,House,1,21321,6,100.0
119,House,1,21326,6,99.7
119,House,1,21333,1,100.0
119,House,1,21337,1,100.0
119,House,1,21339,6,100.0
119,House,1,21342,6,100.0
119,House,1,21343,6,100.0
119,House,1,21346,1,100.0
119,House,1,21352,6,100.0
119,House,1,21353,1,99.3
119,House,1,21356,1,99.2
119,House,1,21360,1,100.0
119,House,1,21362,6,100.0
119,House,1,21364,1,100.0
119,House,1,21365,6,100.0
119,House,1,21370,6,100.0
119,House,1,21371,6,100.0
119,House,1,21373,1,100.0
119,House,1,21375,6,100.0
119,House,1,21500,1,100.0
119,House,1,21503,1,100.0
119,House,1,21504,6,100.0
119,House,1,21506,6,100.0
119,House,1,21507,6,100.0
119,House,1,21508,6,100.0
119,House,1,21513,1,100.0
119,House,1,21515,1,100.0
119,House,1,21516,1,100.0
119,House,1,21519,1,99.5
119,House,1,21525,6,100.0
119,House,1,21526,1,100.0
119,House,1,21529,6,100.0
119,House,1,21531,1,99.8
119,House,1,21532,1,99.5
119,House,1,21536,6,100.0
