congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
111,Senate,3,2009-01-15,1,3,73,21,0.312,-0.95,0.286,-0.151,-22.083,S22,Bill Passed,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",On Passage of the Bill,
111,Senate,5,2009-01-15,1,5,42,52,-0.048,0.999,-0.155,-0.043,-36.006,SJRES5,Joint Resolution Defeated,A joint resolution relating to the disapproval of obligations under the Emergency Economic Stabilization Act of 2008.,On the Joint Resolution,
111,Senate,14,2009-01-22,1,14,61,36,0.22,-0.276,0.716,-0.362,-5.098,S181,Bill Passed,"A bill to amend title VII of the Civil Rights Act of 1964 and the Age Discrimination in Employment Act of 1967, and to modify the operation of the Americans with Disabilities Act of 1990 and the Rehabilitation Act of 1973, to clarify that a discriminatory compensation decision or other practice that is unlawful under such Acts occurs each time compensation is paid pursuant to the discriminatory compensation decision or other practice, and for other purposes.",On Passage of the Bill,
111,Senate,31,2009-01-29,1,31,66,32,0.288,0.544,0.758,0.049,-11.264,HR2,Bill Passed,"A bill to amend title XXI of the Social Security Act to extend and improve the Children's Health Insurance Program, and for other purposes.",On Passage of the Bill,
111,Senate,61,2009-02-10,1,61,61,37,0.15,-0.225,0.733,0.103,-1.382,HR1,Bill Passed,"A bill making supplemental appropriations for job preservation and creation, infrastructure investment, energy efficiency and science, assistance to the unemployed, and State and local fiscal stabilization, for fiscal year ending September 30, 2009, and for other purposes.",On Passage of the Bill,
111,Senate,73,2009-02-26,1,73,61,37,0.343,-0.92,0.307,0.389,-14.756,S160,Bill Passed,A bill to provide the District of Columbia a voting seat and the State of Utah an additional seat in the House of Representatives.,On Passage of the Bill,
111,Senate,106,2009-03-19,1,106,77,20,0.297,-0.943,0.303,-0.234,-22.509,HR146,Bill Passed,"An act to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",On Passage of the Bill,
111,Senate,115,2009-03-26,1,115,79,19,0.429,-0.042,0.695,0.005,-15.136,HR1388,Bill Passed,"A bill entitled ""The Edward M. Kennedy Serve America Act, an Act to reauthorize and reform the national service laws.""",On Passage of the Bill,
111,Senate,171,2009-04-28,1,171,92,4,0.618,-0.041,0.692,-0.597,-3.962,S386,Bill Passed,"A bill to improve enforcement of mortgage fraud, securities fraud, financial institution fraud, and other frauds related to federal assistance and relief programs, for the recovery of funds lost to these frauds, and for other purposes.",On Passage of the Bill,
111,Senate,185,2009-05-06,1,185,91,5,0.715,0.534,0.709,-0.744,-7.09,S896,Bill Passed,A bill to prevent mortgage foreclosures and enhance mortgage credit availability.,On Passage of the Bill,
111,Senate,186,2009-05-07,1,186,93,0,0.0,0.0,0.0,0.0,0.0,S454,Bill Passed,"A bill to improve the organization and procedures of the Department of Defense for the acquisition of major weapon systems, and for other purposes.",On Passage of the Bill,
111,Senate,194,2009-05-19,1,194,90,5,0.282,0.959,0.078,0.38,-20.472,HR627,Bill Passed,"A bill to amend the Truth in Lending Act to establish fair and transparent practices relating to the extension of credit under an open end consumer credit plan, and for other purposes.",On Passage of the Bill,
111,Senate,202,2009-05-21,1,202,86,3,-0.76,0.65,-0.347,-0.308,-7.403,HR2346,Bill Passed,"A bill making supplemental appropriations for the fiscal year ending September 30, 2009, and for other purposes.",On Passage of the Bill,
111,Senate,207,2009-06-11,1,207,79,17,0.322,-0.946,0.167,-0.166,-28.387,HR1256,Bill Passed,"To protect the public health by providing the Food and Drug Administration with certain authority to regulate tobacco products, to amend title 5, United States Code, to make certain modifications in the Thrift Savings Plan, the Civil Service Retirement System, and the Federal Employees' Retirement System, and for other purposes.",On Passage of the Bill,
111,Senate,217,2009-07-06,1,217,67,25,0.481,-0.877,0.179,0.162,-31.619,HR2918,Bill Passed,"A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2010, and for other purposes.",On Passage of the Bill,
111,Senate,229,2009-07-09,1,229,84,6,0.628,-0.236,0.196,-0.347,-15.044,HR2892,Bill Passed,"A bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2010, and for other purposes.",On Passage of the Bill,
111,Senate,242,2009-07-23,1,242,87,7,0.726,0.43,0.221,-0.119,-16.489,S1390,Bill Passed,"An original bill to authorize appropriations for fiscal year 2010 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On Passage of the Bill,
111,Senate,248,2009-07-29,1,248,85,9,0.474,-0.632,0.168,-0.267,-20.0,HR3183,Bill Passed,"A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2010, and for other purposes.",On Passage of the Bill,
111,Senate,254,2009-07-30,1,254,79,17,0.333,-0.567,0.332,-0.398,-19.125,HR3357,Bill Passed,"A bill to restore sums to the Highway Trust Fund, and for other purposes.",On Passage of the Bill,
