congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954,,0.936,-0.352,-53.68709,0.91588,611,23,,0.856,-0.008
118,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982,,0.588,0.575,-49.36279,0.92382,623,20,,0.571,0.646
118,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-100.72831,0.85416,639,47,,0.169,-0.297
118,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.476,0.159,-172.334,0.75868,624,78,,0.521,0.253
118,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964,,-0.263,0.281,-25.31494,0.96086,634,7,,-0.308,0.116
118,Senate,91300,61,0,AZ,328,,,"SINEMA, Kyrsten",S001191,1976,,-0.186,0.387,-64.60198,0.89562,586,22,,-0.185,0.386
118,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.427,0.338,-73.6668,0.8927,649,25,,0.433,0.427
118,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.579,0.195,-70.03008,0.89464,629,32,,0.506,0.334
118,Senate,20104,71,0,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.352,-0.118,-4.18749,0.6834,11,2,,-0.957,-0.044
118,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973,,-0.426,-0.252,-24.80995,0.96138,630,10,,-0.305,-0.313
118,Senate,42305,71,0,CA,100,,,"BUTLER, Laphonza Romanique",B001320,1979,,-0.447,-0.073,-15.76477,0.95988,385,7,,-0.447,-0.073
118,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,2023.0,-0.268,-0.184,-4.04146,0.96661,119,1,,-0.432,0.037
118,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.24,-0.184,-30.29902,0.9548,655,7,,-0.363,0.173
118,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952,,-0.279,-0.026,-21.84146,0.96675,646,6,,-0.27,0.051
118,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.286,-0.255,-41.74091,0.93826,655,18,,-0.459,-0.267
118,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.434,-0.157,-16.8598,0.97459,655,5,,-0.425,0.029
118,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.225,-33.84308,0.94964,655,9,,-0.27,-0.205
118,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.238,-0.217,-14.7516,0.97678,628,5,,-0.311,-0.23
118,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.616,-0.184,-88.79246,0.85645,573,42,,0.638,-0.236
118,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.718,-0.025,-86.86534,0.86747,611,36,,0.808,-0.216
118,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987,,-0.46,0.475,-25.5399,0.96141,649,8,,-0.361,0.249
118,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969,,-0.426,0.418,-13.67213,0.97857,631,2,,-0.426,0.127
