congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
119,Senate,1,2025-01-09,1,1,84,9,-0.444,-0.634,-0.708,-0.181,-10.144,S5,Cloture Motion Agreed to,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",On the Cloture Motion,
119,Senate,2,2025-01-13,1,2,82,10,-0.446,-0.606,-0.715,-0.072,-12.268,S5,Motion to Proceed Agreed to,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",On the Motion to Proceed,
119,Senate,3,2025-01-15,1,3,70,25,-0.096,-0.589,-0.27,-0.761,-21.048,S5,Amendment Agreed to,To expand the list of criminal offenses that subject inadmissible aliens to mandatory detention.,On the Amendment,
119,Senate,4,2025-01-15,1,4,46,49,-0.01,-0.38,0.709,-0.252,-0.07,S5,Amendment Rejected,To strike the section that authorizes State attorneys general to sue Federal immigration authorities for alleged violations relating to the detention of aliens.,On the Amendment,
119,Senate,5,2025-01-17,1,5,61,35,-0.245,-0.022,-0.488,-1.252,-10.565,S5,Cloture Motion Agreed to,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",On the Cloture Motion,
119,Senate,6,2025-01-20,1,6,75,24,-0.147,-0.798,-0.379,-0.654,-20.936,S5,Amendment Agreed to,"To include crimes resulting in death or serious bodily injury to the list of offenses that, if committed by an inadmissible alien, require mandatory detention.",On the Amendment,
119,Senate,7,2025-01-20,1,7,64,35,-0.232,-0.064,-0.431,-1.37,-10.598,S5,Bill Passed,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",On Passage of the Bill,
119,Senate,8,2025-01-20,1,8,99,0,0.0,0.0,0.0,0.0,0.0,PN1113,Nomination Confirmed,"Marco Rubio, of Florida, to be Secretary of State",On the Nomination,
119,Senate,9,2025-01-21,1,9,54,46,0.016,-1.0,-0.855,-0.495,-2.577,PN1119,Motion to Proceed Agreed to,"John Ratcliffe, of Texas, to be Director of the Central Intelligence Agency",On the Motion to Proceed,
119,Senate,10,2025-01-21,1,10,53,45,0.009,-1.0,-0.589,-0.333,-2.544,PN117,Motion to Proceed Agreed to,"Peter Hegseth, of Tennessee, to be Secretary of Defense",On the Motion to Proceed,
119,Senate,11,2025-01-22,1,11,52,47,-0.01,-0.346,-0.704,0.322,-0.066,S6,Cloture on the Motion to Proceed Rejected,"A bill to amend title 18, United States Code, to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion.",On Cloture on the Motion to Proceed,
119,Senate,12,2025-01-23,1,12,72,26,-0.369,0.93,-0.443,-0.092,-24.465,PN1119,Cloture Motion Agreed to,"John Ratcliffe, of Texas, to be Director of the Central Intelligence Agency",On the Cloture Motion,
