congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
112,House,24,2011-02-08,1,26,277,148,-0.639,0.77,-0.248,-0.625,-153.178,HR514,Failed,"To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011",On Motion to Suspend the Rules and Pass,
112,House,34,2011-02-14,1,36,275,144,-0.638,0.77,-0.245,-0.624,-153.738,HR514,Passed,"To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011",On Passage,
112,House,145,2011-02-19,1,147,235,189,-0.066,0.998,-0.376,-0.254,-17.552,HR1,Passed,"Making appropriations for the Department of Defense and the other departments and agencies of the Government for the fisal year ending September 30, 2011, and for other purposes",On Passage,
112,House,152,2011-03-01,1,154,335,91,-0.398,-0.207,-0.187,-0.246,-108.349,HJRES44,Passed,Making further continuing appropriations for fiscal year 2011,On Passage,
112,House,160,2011-03-03,1,162,314,112,-0.387,0.198,-0.986,-0.567,-70.798,HR4,Passed,Small Business Paperwork Mandate Elimination Act of 2011,On Passage,
112,House,177,2011-03-15,1,179,271,158,-0.704,0.71,-0.154,-0.424,-218.388,HJRES48,Passed,"Making further continuing appropriations for fiscal year 2011, and for other purposes",On Passage,
112,House,266,2011-04-14,1,268,260,167,-0.784,0.62,-0.257,-1.098,-213.578,HR1473,Passed,"Department of Defense and Full-Year Continuing Appropriations Act, 2011",On Passage,
112,House,416,2011-06-14,1,418,411,5,0.0,0.0,0.0,0.0,0.0,HR2055,Passed,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes",On Passage,
112,House,457,2011-06-16,1,459,217,203,-0.176,0.984,-0.249,-0.399,-75.776,HR2112,Passed,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2012, and for other purposes",On Passage,
112,House,488,2011-06-23,1,491,304,117,-0.88,0.475,-0.118,-0.298,-234.603,HR1249,Passed,"To amend title 35, United States Code, to provide for patent reform",On Passage,
112,House,777,2011-10-12,1,781,262,167,-0.138,0.256,-0.157,-0.023,-114.288,HR3078,Passed,To implement the United States-Colombia Trade Promotion Agreement,On Passage,
112,House,778,2011-10-12,1,782,300,129,-0.154,0.868,-0.157,0.125,-147.224,HR3079,Passed,To implement the United States-Panama Trade Promotion Agreement,On Passage,
112,House,779,2011-10-12,1,783,278,151,-0.267,-0.581,-0.12,0.013,-184.329,HR3080,Passed,To implement the United States-Korea Trade Agreement,On Passage,
112,House,811,2011-10-27,1,815,405,16,-0.615,-0.116,-1.106,0.389,-34.543,HR674,Passed,To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities,On Passage,
112,House,849,2011-11-16,1,853,422,0,0.0,0.0,0.0,0.0,0.0,HR674,Passed,To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities,On Motion to Suspend the Rules and Concur in the Senate Amendment,
112,House,939,2011-12-16,1,943,351,67,0.7,0.483,1.152,-1.511,-105.233,HR3672,Passed,"Making appropriations for disaster relief requirements for the fiscal year ending September 30, 2012, and for other purposes",On Passage,
112,House,991,2012-02-09,2,47,417,2,0.0,0.0,0.0,0.0,0.0,S2038,Passed,"To prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes","On Motion to Suspend the Rules and Pass, as Amended",
112,House,1054,2012-03-08,2,110,390,23,-0.591,0.17,-1.3,0.437,-52.245,HR3606,Passed,To increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies,On Passage,
112,House,1076,2012-03-27,2,132,380,41,-0.554,-0.723,-0.376,0.095,-78.147,HR3606,Passed,To increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies,On Motion to Suspend the Rules and Concur in the Senate Amendment,
112,House,1168,2012-05-09,2,224,330,93,0.563,0.441,1.358,-0.645,-118.094,HR2072,Passed,"To reauthorize the Export-Import Bank of the United States, and for other purposes","On Motion to Suspend the Rules and Pass, as Amended",
112,House,1480,2012-07-31,2,537,261,116,0.224,0.975,0.167,0.207,-142.166,S679,Passed,To reduce the number of executive positions subject to Senate confirmation,On Motion to Suspend the Rules and Pass,
112,House,1488,2012-08-01,2,545,256,171,-0.196,0.284,-0.347,-0.543,-30.842,HR8,Passed,"To extend certain tax relief provisions enacted in 2001 and 2003, and for other purposes",On Passage,
112,House,1512,2012-09-12,2,569,301,118,-0.407,0.138,-0.206,-0.529,-105.096,HR5949,Passed,To extend the FISA Amendments Act of 2008 for five years,On Passage,
112,House,1522,2012-09-13,2,579,329,91,0.638,-0.223,0.117,-0.057,-192.275,HJRES117,Passed,"Making continuing appropriations for fiscal year 2013, and for other purposes",On Passage,
112,House,1551,2012-11-16,2,608,365,43,-0.395,0.919,-0.166,0.194,-113.245,HR6156,Passed,Russia and Moldova Jackson-Vanik Repeal Act of 2012,On Passage,
