congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
113,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.358,-0.197,-41.04464,0.882,327,11,,,,977,2
113,House,20300,41,1,AL,200,1,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-41.88718,0.888,354,17,,0.331,0.625,998,5
113,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.378,0.379,-134.03426,0.87479,1002,57,,0.451,0.659,1958,5
113,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.402,0.394,-161.56121,0.85136,1004,80,,-0.406,0.478,3036,1
113,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.362,0.658,-87.38206,0.91759,1016,33,,0.316,0.734,559,1
113,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-207.05189,0.81481,1011,76,,0.576,-0.225,1403,1
113,House,21376,41,1,AL,200,2,2,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-38.78313,0.91864,457,14,,0.571,0.368,889,0
113,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-134.43974,0.874,996,66,,0.332,0.318,2896,10
113,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.405,0.469,-94.12551,0.90462,939,39,,0.356,0.773,2268,8
113,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-222.30987,0.79096,948,87,,0.265,0.116,6264,20
113,House,20304,61,8,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-103.99518,0.89863,973,39,,0.707,0.253,2690,5
113,House,20305,61,3,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-123.22713,0.87835,950,46,,-0.511,-0.378,10813,5
113,House,20902,61,1,AZ,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.01,-268.82079,0.75059,937,137,,-0.249,0.167,1581,1
113,House,21103,61,4,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.704,-0.518,-175.62251,0.81871,878,77,,0.63,-0.352,2642,1
113,House,21105,61,6,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.553,-0.22,-129.69503,0.8771,989,56,,0.657,-0.318,1486,1
113,House,21199,61,2,AZ,100,0,1,"BARBER, Ron",B001279,1945,,-0.123,0.001,-330.80405,0.716,992,144,,-0.097,-0.043,294,1
113,House,21300,61,9,AZ,100,0,1,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-311.87621,0.72977,990,114,,-0.12,-0.093,2430,0
113,House,29101,61,7,AZ,100,0,1,"PASTOR, Ed",P000099,1943,2018.0,-0.421,0.12,-153.07236,0.846,915,72,,-0.405,0.092,3270,11
113,House,29500,61,5,AZ,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-156.01219,0.854,988,76,,0.71,-0.389,1071,3
113,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.461,0.305,-122.83582,0.87847,948,63,,0.332,0.448,1583,1
113,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-129.51757,0.879,1002,73,,0.387,0.284,784,1
113,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.348,0.636,-88.20116,0.91724,1021,35,,0.331,0.49,1150,1
113,House,21301,42,4,AR,200,0,1,"COTTON, Tom",C001095,1977,,0.579,0.195,-143.08643,0.86803,1011,69,,0.642,0.202,1888,0
113,House,14256,71,11,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-141.94614,0.86,941,66,,-0.507,-0.282,6856,19
113,House,14280,71,33,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-106.7633,0.894,954,49,,-0.463,-0.174,8227,19
113,House,15448,71,12,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.489,-0.179,-102.46621,0.89493,923,41,,-0.453,-0.08,5049,13
113,House,15621,71,48,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-220.54778,0.79957,986,102,,0.669,-0.744,3786,12
113,House,20103,71,17,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-109.97685,0.89,944,62,,-0.492,-0.43,4938,6
113,House,20104,71,28,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.352,-0.118,-98.21896,0.90724,1009,29,,-0.389,-0.16,5670,6
113,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.476,0.03,-112.16452,0.89489,1010,45,,0.463,0.016,2454,6
113,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-115.00623,0.89146,1001,36,,-0.388,-0.007,3505,6
113,House,20307,71,22,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.45,0.223,-107.82585,0.897,992,45,,0.357,0.393,1364,5
113,House,20310,71,38,CA,100,0,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.131,-143.3711,0.86531,991,62,,-0.47,-0.122,4772,5
113,House,20501,71,16,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.199,0.448,-397.49278,0.66519,975,198,,-0.176,0.393,3833,4
113,House,20538,71,6,CA,100,0,1,"MATSUI, Doris",M001163,1944,,-0.434,-0.143,-120.76483,0.88624,1000,54,,-0.439,-0.205,4388,4
113,House,20539,71,45,CA,200,0,1,"CAMPBELL, John (of California)",C001064,1955,,0.748,-0.415,-115.09929,0.819,577,41,,0.617,-0.155,894,4
113,House,20702,71,9,CA,100,0,1,"McNERNEY, Jerry",M001166,1951,,-0.263,-0.159,-200.27767,0.81932,1005,76,,-0.308,0.004,2904,3
113,House,20703,71,23,CA,200,0,1,"MCCARTHY, Kevin",M001165,1965,,0.453,0.233,-104.83108,0.90233,1020,40,,0.4,0.36,628,3
113,House,20762,71,14,CA,100,0,1,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.41,-103.53303,0.89777,960,42,,-0.42,-0.445,2898,3
113,House,20903,71,4,CA,200,0,1,"McCLINTOCK, Tom",M001177,1956,,0.67,-0.366,-168.6915,0.84646,1012,85,,0.735,-0.517,1877,2
113,House,20955,71,27,CA,100,0,1,"CHU, Judy",C001080,1953,,-0.481,-0.37,-99.74995,0.90313,979,51,,-0.53,-0.179,5155,2
113,House,20958,71,3,CA,100,0,1,"GARAMENDI, John",G000559,1945,,-0.314,-0.098,-238.4963,0.78744,998,106,,-0.271,-0.132,3607,2
113,House,20963,71,50,CA,200,0,1,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-128.72161,0.87452,960,57,,0.531,0.11,1209,2
113,House,21109,71,10,CA,200,0,1,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-169.03896,0.84589,1010,76,,0.273,0.261,640,1
113,House,21110,71,37,CA,100,0,1,"BASS, Karen",B001270,1953,,-0.584,-0.098,-98.30027,0.89653,900,53,,-0.533,-0.164,2661,1
113,House,21195,71,44,CA,100,0,1,"HAHN, Janice",H001063,1952,,-0.39,-0.376,-107.26435,0.9,1016,40,,-0.424,-0.344,882,1
113,House,21302,71,1,CA,200,0,1,"LaMALFA, Doug",L000578,1960,,0.542,0.009,-105.34118,0.89983,998,34,,0.57,0.188,2454,0
113,House,21303,71,2,CA,100,0,1,"HUFFMAN, Jared",H001068,1964,,-0.431,-0.51,-110.30647,0.89536,998,36,,-0.426,-0.432,3774,0
113,House,21304,71,7,CA,100,0,1,"BERA, Ami",B001287,1965,,-0.246,0.008,-202.54474,0.81942,1017,95,,-0.202,-0.108,1827,0
113,House,21305,71,8,CA,200,0,1,"COOK, Paul",C001094,1943,,0.372,0.208,-131.11415,0.87859,1013,59,,0.432,0.116,1120,0
113,House,21306,71,15,CA,100,0,1,"SWALWELL, Eric",S001193,1980,,-0.355,-0.049,-167.01737,0.84841,1016,78,,-0.374,-0.048,3243,0
113,House,21307,71,21,CA,200,0,1,"VALADAO, David G.",V000129,1977,,0.257,0.44,-172.2793,0.84389,1015,72,,0.247,0.308,1781,0
113,House,21308,71,26,CA,100,0,1,"BROWNLEY, Julia",B001285,1952,,-0.304,0.048,-180.24933,0.83773,1018,88,,-0.271,0.012,3919,0
113,House,21309,71,29,CA,100,0,1,"CÁRDENAS, Tony",C001097,1963,,-0.39,-0.046,-173.77332,0.83675,975,68,,-0.361,0.025,3095,0
113,House,21310,71,35,CA,100,0,1,"NEGRETE McLEOD, Gloria",N000187,1941,,-0.437,0.035,-133.89662,0.855,856,65,,-0.429,0.009,329,0
113,House,21311,71,36,CA,100,0,1,"RUIZ, Raul",R000599,1972,,-0.26,0.046,-292.96064,0.74385,990,143,,-0.199,0.015,1898,0
113,House,21312,71,41,CA,100,0,1,"TAKANO, Mark",T000472,1960,,-0.456,-0.33,-147.68101,0.86496,1018,54,,-0.461,-0.075,3764,0
113,House,21313,71,47,CA,100,0,1,"LOWENTHAL, Alan",L000579,1941,,-0.449,-0.384,-89.67492,0.91496,1009,37,,-0.474,-0.304,3589,0
113,House,21314,71,51,CA,100,0,1,"VARGAS, Juan",V000130,1961,,-0.398,0.023,-156.88932,0.85466,999,69,,-0.383,0.166,3057,0
113,House,21315,71,52,CA,100,0,1,"PETERS, Scott",P000608,1958,,-0.193,-0.038,-302.58683,0.74156,1012,146,,-0.161,-0.159,3343,0
113,House,29106,71,43,CA,100,0,1,"WATERS, Maxine",W000187,1938,,-0.656,-0.094,-126.05133,0.87707,961,52,,-0.531,-0.068,4718,11
113,House,29312,71,18,CA,100,0,1,"ESHOO, Anna Georges",E000215,1942,,-0.379,-0.372,-105.56585,0.89972,999,34,,-0.379,-0.407,6158,10
113,House,29313,71,20,CA,100,0,1,"FARR, Sam",F000030,1941,,-0.455,-0.219,-129.45034,0.877,985,50,,-0.439,-0.137,4705,10
113,House,29315,71,25,CA,200,0,1,"McKEON, Howard P. (Buck)",M000508,1938,,0.396,0.208,-126.13141,0.88,983,56,,0.297,0.616,2023,10
113,House,29316,71,34,CA,100,0,1,"BECERRA, Xavier",B000287,1958,,-0.512,-0.283,-78.82904,0.92294,983,30,,-0.508,-0.318,1962,10
113,House,29317,71,40,CA,100,0,1,"ROYBAL-ALLARD, Lucille",R000486,1941,,-0.469,-0.171,-91.9535,0.91206,999,37,,-0.48,-0.097,5442,10
113,House,29321,71,39,CA,200,0,1,"ROYCE, Edward Randall",R000487,1951,,0.657,-0.353,-129.45921,0.8788,1002,51,,0.563,-0.173,2523,10
113,House,29323,71,42,CA,200,0,1,"CALVERT, Ken",C000059,1953,,0.339,0.277,-86.52438,0.9179,1010,30,,0.296,0.471,5155,10
113,House,29504,71,19,CA,100,0,1,"LOFGREN, Zoe",L000397,1947,,-0.397,-0.402,-177.77329,0.83831,1008,67,,-0.361,-0.374,8236,9
113,House,29707,71,30,CA,100,0,1,"SHERMAN, Brad",S000344,1954,,-0.344,-0.137,-157.44245,0.85592,1012,59,,-0.322,-0.116,5263,8
113,House,29709,71,46,CA,100,0,1,"SANCHEZ, Loretta",S000030,1960,,-0.367,0.025,-205.52164,0.808,966,89,,-0.329,0.015,2759,8
113,House,29774,71,24,CA,100,0,1,"CAPPS, Lois",C001036,1938,,-0.389,-0.227,-124.611,0.884,1014,44,,-0.361,-0.285,3763,8
113,House,29778,71,13,CA,100,0,1,"LEE, Barbara",L000551,1946,,-0.676,-0.582,-94.05006,0.91015,999,54,,-0.651,-0.444,10571,8
113,House,29901,71,5,CA,100,0,1,"THOMPSON, Michael",T000460,1951,,-0.392,0.071,-168.82828,0.84579,1008,89,,-0.392,-0.197,4279,7
113,House,29903,71,32,CA,100,0,1,"NAPOLITANO, Grace Flores",N000179,1936,,-0.448,-0.247,-103.97043,0.89944,981,50,,-0.477,-0.288,6491,7
113,House,29905,71,31,CA,200,0,1,"MILLER, Gary G.",M001139,1948,,0.478,0.222,-81.82418,0.886,674,35,,0.335,0.181,1669,7
113,House,20704,62,5,CO,200,0,1,"LAMBORN, Doug",L000564,1954,,0.665,0.257,-121.05007,0.88758,1015,44,,0.622,0.181,3024,3
113,House,20705,62,7,CO,100,0,1,"PERLMUTTER, Ed",P000593,1953,,-0.282,0.072,-227.46068,0.79039,967,95,,-0.282,0.067,2506,3
113,House,20904,62,2,CO,100,0,1,"POLIS, Jared",P000598,1975,,-0.278,-0.692,-276.30493,0.7413,923,97,,-0.247,-0.719,2249,2
113,House,20906,62,6,CO,200,0,1,"COFFMAN, Mike",C001077,1955,,0.492,-0.213,-178.39351,0.83897,1016,89,,0.458,-0.299,1641,2
