congress,chamber,rollnumber,icpsr,cast_code,prob
119,House,22,14854,1,100.0
119,House,22,14863,1,100.0
119,House,22,14873,6,87.6
119,House,22,15029,1,24.4
119,House,22,15433,6,99.9
119,House,22,15448,9,99.9
119,House,22,15454,6,98.6
119,House,22,15616,6,98.6
119,House,22,20107,1,100.0
119,House,22,20119,1,17.0
119,House,22,20122,6,99.3
119,House,22,20124,1,100.0
119,House,22,20138,1,100.0
119,House,22,20145,6,80.4
119,House,22,20301,1,100.0
119,House,22,20305,9,100.0
119,House,22,20310,6,99.9
119,House,22,20316,1,100.0
119,House,22,20321,6,56.8
119,House,22,20322,6,42.9
119,House,22,20342,1,100.0
119,House,22,20344,1,100.0
119,House,22,20356,1,100.0
119,House,22,20501,1,96.6
119,House,22,20504,6,94.3
119,House,22,20517,6,98.9
119,House,22,20521,1,100.0
119,House,22,20529,6,92.6
119,House,22,20530,1,100.0
119,House,22,20533,1,98.0
119,House,22,20537,6,100.0
119,House,22,20538,6,99.3
119,House,22,20706,1,18.1
119,House,22,20708,6,97.2
119,House,22,20709,1,100.0
119,House,22,20712,6,99.6
119,House,22,20725,1,100.0
119,House,22,20729,1,100.0
119,House,22,20733,6,100.0
119,House,22,20738,1,100.0
119,House,22,20748,6,99.3
119,House,22,20749,6,72.2
119,House,22,20755,1,100.0
119,House,22,20756,1,100.0
119,House,22,20757,6,97.8
119,House,22,20758,1,100.0
119,House,22,20759,1,100.0
119,House,22,20903,1,100.0
119,House,22,20907,6,71.8
119,House,22,20916,1,100.0
119,House,22,20920,6,99.8
119,House,22,20927,1,14.1
119,House,22,20934,6,99.6
119,House,22,20946,1,100.0
119,House,22,20952,6,80.5
119,House,22,20954,6,94.2
119,House,22,20955,6,100.0
119,House,22,20958,9,85.6
119,House,22,21100,1,100.0
119,House,22,21102,1,29.0
119,House,22,21103,1,100.0
119,House,22,21105,1,100.0
119,House,22,21106,1,100.0
119,House,22,21108,1,100.0
119,House,22,21116,1,100.0
119,House,22,21118,6,99.5
119,House,22,21123,1,100.0
119,House,22,21139,1,100.0
119,House,22,21140,6,89.2
119,House,22,21142,1,100.0
119,House,22,21167,1,100.0
119,House,22,21178,1,100.0
119,House,22,21179,1,100.0
119,House,22,21191,1,100.0
119,House,22,21196,1,100.0
119,House,22,21198,6,99.8
119,House,22,21302,1,100.0
119,House,22,21303,6,100.0
119,House,22,21304,6,49.7
119,House,22,21306,6,91.5
119,House,22,21307,1,100.0
119,House,22,21308,6,69.9
119,House,22,21311,6,51.2
119,House,22,21312,6,99.9
119,House,22,21314,6,94.9
119,House,22,21315,6,32.2
119,House,22,21321,6,96.0
119,House,22,21326,9,43.1
119,House,22,21333,1,100.0
119,House,22,21337,1,100.0
119,House,22,21339,1,35.4
119,House,22,21342,6,97.7
119,House,22,21343,6,99.7
119,House,22,21346,1,100.0
119,House,22,21352,6,98.1
119,House,22,21353,1,100.0
119,House,22,21356,1,100.0
119,House,22,21360,1,100.0
119,House,22,21362,6,98.2
119,House,22,21364,9,100.0
119,House,22,21365,6,77.2
119,House,22,21370,6,100.0
119,House,22,21371,6,99.5
119,House,22,21373,1,100.0
119,House,22,21375,6,100.0
119,House,22,21500,1,100.0
119,House,22,21503,1,100.0
119,House,22,21504,6,100.0
119,House,22,21506,6,67.9
119,House,22,21507,6,97.8
119,House,22,21508,6,87.8
119,House,22,21513,1,100.0
119,House,22,21515,1,100.0
119,House,22,21516,1,100.0
119,House,22,21519,1,100.0
119,House,22,21525,6,71.9
119,House,22,21526,1,100.0
119,House,22,21529,9,98.8
119,House,22,21531,1,100.0
119,House,22,21532,1,100.0
119,House,22,21536,6,82.0
119,House,22,21538,6,100.0
119,House,22,21541,1,100.0
119,House,22,21544,1,100.0
119,House,22,21545,6,99.2
119,House,22,21548,1,14.2
119,House,22,21551,1,100.0
119,House,22,21554,6,97.5
119,House,22,21556,1,100.0
119,House,22,21559,1,100.0
119,House,22,21561,1,100.0
119,House,22,21562,1,100.0
119,House,22,21563,1,100.0
119,House,22,21564,1,100.0
119,House,22,21565,1,100.0
119,House,22,21566,6,99.8
119,House,22,21700,1,100.0
119,House,22,21701,1,100.0
119,House,22,21703,6,99.9
119,House,22,21704,1,100.0
119,House,22,21705,1,100.0
119,House,22,21709,6,72.9
119,House,22,21711,9,48.5
119,House,22,21714,1,100.0
119,House,22,21715,6,100.0
119,House,22,21718,1,100.0
119,House,22,21722,1,82.0
119,House,22,21723,1,93.6
119,House,22,21724,1,100.0
119,House,22,21726,9,100.0
119,House,22,21727,1,100.0
119,House,22,21728,6,99.9
119,House,22,21730,6,87.7
119,House,22,21731,1,100.0
119,House,22,21735,1,100.0
119,House,22,21740,6,46.2
119,House,22,21741,6,100.0
119,House,22,21744,1,100.0
119,House,22,21745,1,100.0
119,House,22,21746,6,71.6
119,House,22,21747,1,79.1
119,House,22,21749,1,100.0
119,House,22,21750,1,100.0
119,House,22,21753,1,100.0
119,House,22,21754,6,100.0
119,House,22,21758,1,100.0
119,House,22,21759,1,100.0
119,House,22,21760,1,100.0
119,House,22,21761,1,31.4
119,House,22,21762,6,99.8
119,House,22,21903,1,100.0
119,House,22,21905,1,100.0
119,House,22,21906,6,99.7
119,House,22,21907,6,67.8
119,House,22,21908,1,100.0
119,House,22,21910,1,91.9
119,House,22,21911,1,100.0
119,House,22,21912,6,74.8
119,House,22,21914,1,67.8
119,House,22,21915,6,99.2
119,House,22,21917,6,99.9
119,House,22,21919,6,65.5
119,House,22,21920,1,100.0
119,House,22,21921,6,100.0
119,House,22,21922,6,100.0
119,House,22,21923,1,99.6
119,House,22,21925,1,100.0
119,House,22,21926,1,100.0
119,House,22,21927,1,100.0
119,House,22,21930,1,78.6
119,House,22,21931,1,13.4
119,House,22,21934,6,31.9
119,House,22,21935,1,100.0
119,House,22,21936,1,100.0
119,House,22,21938,1,87.0
119,House,22,21939,1,36.7
119,House,22,21944,1,33.4
119,House,22,21945,1,100.0
119,House,22,21946,1,100.0
119,House,22,21948,6,99.0
119,House,22,21949,6,99.9
119,House,22,21950,6,99.8
119,House,22,21951,1,86.4
119,House,22,21955,6,100.0
119,House,22,21956,1,100.0
119,House,22,21959,1,100.0
119,House,22,21961,1,100.0
119,House,22,21962,1,79.2
119,House,22,21964,6,19.9
119,House,22,21968,1,65.4
119,House,22,21969,1,100.0
119,House,22,21970,1,100.0
119,House,22,21971,1,100.0
119,House,22,21972,6,78.3
119,House,22,21974,1,100.0
119,House,22,21975,6,99.7
119,House,22,21977,6,99.0
119,House,22,21979,6,99.7
119,House,22,21987,1,100.0
119,House,22,21989,1,100.0
119,House,22,22100,6,89.2
119,House,22,22101,1,100.0
119,House,22,22102,1,100.0
119,House,22,22103,1,100.0
119,House,22,22107,1,100.0
119,House,22,22110,1,100.0
119,House,22,22111,1,100.0
119,House,22,22112,1,100.0
119,House,22,22113,1,100.0
119,House,22,22114,1,100.0
119,House,22,22115,1,100.0
119,House,22,22116,1,100.0
119,House,22,22117,1,100.0
119,House,22,22118,1,100.0
119,House,22,22119,1,100.0
119,House,22,22121,1,100.0
119,House,22,22122,1,100.0
119,House,22,22124,1,100.0
119,House,22,22125,1,100.0
119,House,22,22126,6,99.8
119,House,22,22129,1,100.0
119,House,22,22131,6,97.1
119,House,22,22132,1,100.0
119,House,22,22133,1,100.0
119,House,22,22134,1,100.0
119,House,22,22136,1,100.0
119,House,22,22138,1,100.0
119,House,22,22139,1,100.0
119,House,22,22140,1,100.0
119,House,22,22141,1,100.0
119,House,22,22142,9,36.3
119,House,22,22143,1,100.0
119,House,22,22145,1,100.0
119,House,22,22146,1,100.0
119,House,22,22147,1,100.0
119,House,22,22149,6,93.7
119,House,22,22150,1,100.0
119,House,22,22151,1,100.0
119,House,22,22153,6,88.4
119,House,22,22154,1,15.4
119,House,22,22155,1,100.0
119,House,22,22156,6,99.9
119,House,22,22157,1,100.0
119,House,22,22158,6,98.4
119,House,22,22159,6,99.7
119,House,22,22160,1,100.0
119,House,22,22161,6,99.6
119,House,22,22162,1,100.0
119,House,22,22163,6,98.6
119,House,22,22166,1,100.0
119,House,22,22167,1,100.0
119,House,22,22169,6,19.0
119,House,22,22171,1,100.0
119,House,22,22300,1,100.0
119,House,22,22301,6,100.0
119,House,22,22302,1,100.0
119,House,22,22303,1,100.0
119,House,22,22304,1,68.9
119,House,22,22305,1,100.0
119,House,22,22307,6,100.0
119,House,22,22309,1,100.0
119,House,22,22310,1,100.0
119,House,22,22311,1,100.0
119,House,22,22312,6,100.0
119,House,22,22314,1,99.2
119,House,22,22315,1,100.0
119,House,22,22316,6,69.8
119,House,22,22318,1,100.0
119,House,22,22319,1,100.0
119,House,22,22320,6,100.0
119,House,22,22321,6,100.0
119,House,22,22322,1,100.0
119,House,22,22323,6,99.9
119,House,22,22324,6,95.0
119,House,22,22325,1,100.0
119,House,22,22326,1,100.0
119,House,22,22327,6,81.3
119,House,22,22328,1,100.0
119,House,22,22329,6,99.3
119,House,22,22330,6,98.8
119,House,22,22332,1,100.0
119,House,22,22333,6,100.0
119,House,22,22334,1,100.0
119,House,22,22335,1,100.0
119,House,22,22336,1,100.0
119,House,22,22337,1,100.0
119,House,22,22338,1,81.7
119,House,22,22339,1,100.0
119,House,22,22340,1,100.0
119,House,22,22341,1,100.0
119,House,22,22342,6,100.0
119,House,22,22343,1,100.0
119,House,22,22344,1,100.0
119,House,22,22345,6,67.2
119,House,22,22346,1,100.0
119,House,22,22347,6,99.7
119,House,22,22348,6,98.6
119,House,22,22349,1,100.0
119,House,22,22350,1,100.0
119,House,22,22352,1,100.0
119,House,22,22353,1,86.4
119,House,22,22354,6,99.7
119,House,22,22356,1,100.0
119,House,22,22357,1,100.0
119,House,22,22358,1,99.6
119,House,22,22359,9,64.4
119,House,22,22360,6,100.0
119,House,22,22361,6,63.5
119,House,22,22363,1,70.2
