state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
IA,1,0.362,-0.035,0.09996,0.625,"GRASSLEY, Charles Ernest",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,14226,0,1
MA,1,-0.517,-0.47,0.13353333333333334,0.625,"MARKEY, Edward John",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,14435,0,0
NY,1,-0.355,-0.414,0.10678666666666667,0.55,"SCHUMER, Charles Ellis (Chuck)",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,14858,0,0
OR,1,-0.333,-0.487,0.11181333333333333,0.575,"WYDEN, Ronald Lee",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,14871,0,0
KY,1,0.402,0.017,0.03762666666666667,0.5,"McCONNELL, Addison Mitchell (Mitch)",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,14921,0,1
IL,1,-0.342,-0.31,0.1376,0.525,"DURBIN, Richard Joseph",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,15021,0,0
AR,1,0.427,0.338,0.05553333333333333,0.3,"BOOZMAN, John",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,20101,0,1
CA,1,-0.352,-0.118,0.0756,0.325,"SCHIFF, Adam",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,20104,0,0
WV,1,0.284,0.143,0.05162666666666667,0.3,"CAPITO, Shelley Moore",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,20146,0,1
MD,1,-0.397,-0.226,0.08808,0.275,"VAN HOLLEN, Christopher",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,20330,0,0
TN,1,0.632,0.14,0.06286666666666667,0.275,"BLACKBURN, Marsha",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,20351,0,1
CT,1,-0.286,-0.255,0.04473333333333333,0.225,"MURPHY, Christopher",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,20707,0,0
HI,1,-0.514,-0.092,0.06545333333333334,0.225,"HIRONO, Mazie",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,20713,0,0
