state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
MI,0,-0.448,0.313,0.04412,0.6,"DINGELL, John David, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,2605,0,0
MI,0,-0.658,-0.512,0.14349333333333333,0.475,"CONYERS, John, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,10713,0,0
WI,0,-0.45,-0.063,0.017506666666666667,0.425,"OBEY, David Ross",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,12036,0,0
IL,0,0.739,0.023,0.03681333333333334,0.425,"CRANE, Philip Miller",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,12041,0,1
NY,0,-0.514,-0.341,0.15342666666666666,0.4,"RANGEL, Charles B.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,13035,0,0
FL,0,0.325,-0.112,0.04316,0.4,"YOUNG, Charles William (Bill)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,13047,0,1
OH,0,0.221,-0.223,0.029106666666666666,0.375,"REGULA, Ralph Straus",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14045,0,1
CA,0,-0.631,-0.605,0.11750666666666666,0.375,"STARK, Fortney Hillman (Pete), Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14053,0,0
PA,0,-0.265,0.569,0.03793333333333333,0.375,"MURTHA, John Patrick, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14072,0,0
CA,0,-0.552,-0.398,0.09141333333333333,0.35,"MILLER, George",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14256,0,0
MN,0,-0.553,0.304,0.08076,0.35,"OBERSTAR, James Louis",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14265,0,0
CA,0,-0.473,-0.343,0.10969333333333334,0.35,"WAXMAN, Henry Arnold",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14280,0,0
TX,0,0.863,-0.505,0.04237333333333333,0.175,"PAUL, Ronald Ernest",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14290,0,1
WA,0,-0.312,0.11,0.04308,0.325,"DICKS, Norman DeValois",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14413,0,0
MI,0,-0.385,0.011,0.09432,0.325,"KILDEE, Dale Edward",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14430,0,0
IA,0,0.141,-0.79,0.04738666666666667,0.325,"LEACH, James Albert Smith",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14432,0,1
MA,0,-0.517,-0.47,0.13353333333333334,0.325,"MARKEY, Edward John",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14435,0,0
WV,0,-0.306,0.45,0.08714666666666666,0.325,"RAHALL, Nick Joe, II",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14448,0,0
NE,0,0.231,-0.347,0.04876,0.3,"BEREUTER, Douglas Kent",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14605,0,1
TX,0,-0.316,0.354,0.11890666666666666,0.3,"FROST, Jonas Martin",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14626,0,0
CA,0,0.348,-0.101,0.03892,0.3,"LEWIS, Charles Jeremy (Jerry)",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14644,0,1
CA,0,-0.404,-0.03,0.07124,0.3,"MATSUI, Robert T.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14649,0,0
MN,0,-0.516,-0.317,0.04492,0.3,"SABO, Martin Olav",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14656,0,0
WI,0,0.638,-0.579,0.05232,0.3,"SENSENBRENNER, Frank James, Jr.",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14657,0,1
TX,0,0.019,1.0,0.04222666666666667,0.3,"STENHOLM, Charles Walter",0.0,0.0,0.0,0.0,HR1307,Armed Forces Tax Fairness Act,Passed,1,75,14664,0,0
