state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
WV,1,-0.309,0.729,0.03233333333333333,0.7,"BYRD, Robert Carlyle",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,1366,0,0
HI,1,-0.319,0.062,0.08337333333333333,0.625,"INOUYE, Daniel Ken",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,4812,0,0
MS,1,0.287,0.051,0.08593333333333333,0.45,"COCHRAN, William Thad",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14009,0,1
MT,1,-0.212,0.017,0.06601333333333333,0.425,"BAUCUS, Max Sieben",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14203,0,0
CT,1,-0.328,-0.317,0.0802,0.425,"DODD, Christopher John",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14213,0,0
IA,1,0.362,-0.035,0.09996,0.425,"GRASSLEY, Charles Ernest",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,14226,0,1
IA,1,-0.351,-0.546,0.06893333333333333,0.425,"HARKIN, Thomas Richard (Tom)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14230,0,0
VT,1,-0.36,-0.121,0.10026666666666667,0.425,"LEAHY, Patrick Joseph",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14307,0,0
HI,1,-0.419,0.273,0.07108,0.425,"AKAKA, Daniel Kahikina",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14400,0,0
MD,1,-0.37,-0.128,0.10669333333333333,0.4,"MIKULSKI, Barbara Ann",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14440,0,0
UT,1,0.382,-0.004,0.08088,0.4,"HATCH, Orrin Grant",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14503,0,1
IN,1,0.304,-0.466,0.05788,0.4,"LUGAR, Richard Green",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14506,0,1
FL,1,-0.193,0.337,0.04921333333333333,0.25,"NELSON, Clarence William (Bill)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,14651,0,0
