congress,chamber,rollnumber,icpsr,cast_code,prob
109,Senate,9,1366,6,83.0
109,Senate,9,4812,6,70.9
109,Senate,9,10808,6,92.0
109,Senate,9,12109,1,100.0
109,Senate,9,13039,6,94.6
109,Senate,9,14009,1,100.0
109,Senate,9,14031,1,100.0
109,Senate,9,14101,6,65.4
109,Senate,9,14103,1,100.0
109,Senate,9,14203,6,22.8
109,Senate,9,14213,1,38.1
109,Senate,9,14226,1,100.0
109,Senate,9,14230,6,63.7
109,Senate,9,14307,6,80.5
109,Senate,9,14400,6,96.9
109,Senate,9,14440,6,83.3
109,Senate,9,14503,1,100.0
109,Senate,9,14506,1,100.0
109,Senate,9,14651,6,25.5
109,Senate,9,14661,1,100.0
109,Senate,9,14709,6,89.7
109,Senate,9,14712,1,100.0
109,Senate,9,14809,1,100.0
109,Senate,9,14812,6,48.6
109,Senate,9,14826,1,100.0
109,Senate,9,14852,1,100.0
109,Senate,9,14858,1,30.2
109,Senate,9,14871,6,58.1
109,Senate,9,14910,1,100.0
109,Senate,9,14912,1,53.5
109,Senate,9,14914,6,74.5
109,Senate,9,14920,6,69.7
109,Senate,9,14921,1,100.0
109,Senate,9,14922,1,23.2
109,Senate,9,15011,6,94.0
109,Senate,9,15015,1,90.9
109,Senate,9,15020,1,100.0
109,Senate,9,15021,6,68.1
109,Senate,9,15039,1,100.0
109,Senate,9,15054,6,58.8
109,Senate,9,15406,1,100.0
109,Senate,9,15424,1,100.0
109,Senate,9,15425,1,57.3
109,Senate,9,15429,1,100.0
109,Senate,9,15501,1,100.0
109,Senate,9,15502,1,23.7
109,Senate,9,15633,1,100.0
109,Senate,9,15701,1,100.0
109,Senate,9,15703,1,72.6
109,Senate,9,15704,1,86.6
109,Senate,9,29108,1,100.0
109,Senate,9,29141,9,100.0
109,Senate,9,29142,1,20.3
109,Senate,9,29148,1,100.0
109,Senate,9,29305,1,86.9
109,Senate,9,29345,1,100.0
109,Senate,9,29369,1,100.0
109,Senate,9,29512,1,100.0
109,Senate,9,29523,1,100.0
109,Senate,9,29537,1,100.0
109,Senate,9,29548,1,100.0
109,Senate,9,29555,1,100.0
109,Senate,9,29566,1,100.0
109,Senate,9,29732,6,77.5
109,Senate,9,29740,9,100.0
109,Senate,9,29754,1,100.0
109,Senate,9,29909,1,100.0
109,Senate,9,29918,1,100.0
109,Senate,9,29936,1,100.0
109,Senate,9,39310,1,50.6
109,Senate,9,40101,6,96.7
109,Senate,9,40103,1,98.2
109,Senate,9,40104,6,90.7
109,Senate,9,40105,6,79.4
109,Senate,9,40300,1,100.0
109,Senate,9,40301,6,31.9
109,Senate,9,40302,1,100.0
109,Senate,9,40303,1,100.0
109,Senate,9,40304,1,100.0
109,Senate,9,40305,1,100.0
109,Senate,9,40500,1,72.4
109,Senate,9,40501,1,100.0
109,Senate,9,40502,1,35.7
109,Senate,9,49300,1,60.7
109,Senate,9,49306,1,100.0
109,Senate,9,49307,1,100.0
109,Senate,9,49308,6,73.5
109,Senate,9,49309,6,33.3
109,Senate,9,49502,1,100.0
109,Senate,9,49700,1,100.0
109,Senate,9,49702,1,67.2
109,Senate,9,49703,1,100.0
109,Senate,9,49704,1,100.0
109,Senate,9,49705,1,100.0
109,Senate,9,49706,1,100.0
109,Senate,9,49901,1,93.4
109,Senate,9,49903,1,100.0
109,Senate,9,49905,1,100.0
109,Senate,9,94240,1,69.8
109,Senate,9,94659,1,100.0
109,Senate,9,99910,1,100.0
109,Senate,11,1366,1,
109,Senate,11,4812,1,
109,Senate,11,10808,1,
109,Senate,11,12109,1,
109,Senate,11,13039,1,
109,Senate,11,14009,1,
109,Senate,11,14031,1,
109,Senate,11,14101,9,
109,Senate,11,14103,1,
109,Senate,11,14203,1,
109,Senate,11,14213,1,
109,Senate,11,14226,1,
109,Senate,11,14230,1,
109,Senate,11,14307,1,
109,Senate,11,14400,1,
109,Senate,11,14440,1,
109,Senate,11,14503,1,
109,Senate,11,14506,1,
109,Senate,11,14651,1,
109,Senate,11,14661,1,
109,Senate,11,14709,1,
109,Senate,11,14712,1,
109,Senate,11,14809,1,
109,Senate,11,14812,1,
109,Senate,11,14826,1,
109,Senate,11,14852,1,
109,Senate,11,14858,1,
109,Senate,11,14871,1,
109,Senate,11,14910,9,
109,Senate,11,14912,1,
109,Senate,11,14914,1,
109,Senate,11,14920,1,
109,Senate,11,14921,1,
109,Senate,11,14922,1,
109,Senate,11,15011,1,
109,Senate,11,15015,1,
109,Senate,11,15020,1,
109,Senate,11,15021,1,
109,Senate,11,15039,1,
109,Senate,11,15054,1,
109,Senate,11,15406,1,
109,Senate,11,15424,1,
109,Senate,11,15425,1,
109,Senate,11,15429,1,
109,Senate,11,15501,1,
109,Senate,11,15502,1,
109,Senate,11,15633,1,
109,Senate,11,15701,1,
109,Senate,11,15703,1,
109,Senate,11,15704,1,
109,Senate,11,29108,1,
109,Senate,11,29141,1,
109,Senate,11,29142,1,
109,Senate,11,29148,1,
109,Senate,11,29305,1,
109,Senate,11,29345,1,
109,Senate,11,29369,1,
109,Senate,11,29512,1,
109,Senate,11,29523,1,
109,Senate,11,29537,1,
109,Senate,11,29548,1,
109,Senate,11,29555,1,
109,Senate,11,29566,1,
109,Senate,11,29732,1,
109,Senate,11,29740,1,
109,Senate,11,29754,1,
109,Senate,11,29909,1,
109,Senate,11,29918,1,
109,Senate,11,29936,1,
109,Senate,11,39310,1,
109,Senate,11,40101,1,
109,Senate,11,40103,1,
109,Senate,11,40104,1,
109,Senate,11,40105,1,
109,Senate,11,40300,1,
109,Senate,11,40301,1,
109,Senate,11,40302,1,
109,Senate,11,40303,1,
109,Senate,11,40304,1,
109,Senate,11,40305,1,
109,Senate,11,40500,1,
109,Senate,11,40501,1,
109,Senate,11,40502,1,
109,Senate,11,49300,1,
109,Senate,11,49306,1,
109,Senate,11,49307,1,
109,Senate,11,49308,1,
109,Senate,11,49309,1,
109,Senate,11,49502,1,
109,Senate,11,49700,1,
109,Senate,11,49702,1,
109,Senate,11,49703,1,
109,Senate,11,49704,1,
109,Senate,11,49705,1,
109,Senate,11,49706,1,
109,Senate,11,49901,1,
109,Senate,11,49903,1,
109,Senate,11,49905,1,
109,Senate,11,94240,1,
109,Senate,11,94659,1,
109,Senate,11,99910,9,
109,Senate,19,1366,1,97.2
109,Senate,19,4812,9,94.4
109,Senate,19,10808,1,90.7
109,Senate,19,12109,6,84.8
109,Senate,19,13039,1,95.3
109,Senate,19,14009,6,65.5
109,Senate,19,14031,6,66.0
109,Senate,19,14101,1,92.7
109,Senate,19,14103,1,23.2
109,Senate,19,14203,1,87.3
109,Senate,19,14213,1,87.4
109,Senate,19,14226,6,73.7
109,Senate,19,14230,1,80.9
109,Senate,19,14307,1,93.7
109,Senate,19,14400,1,98.1
109,Senate,19,14440,1,94.0
109,Senate,19,14503,6,73.4
109,Senate,19,14506,6,86.9
109,Senate,19,14651,6,8.3
109,Senate,19,14661,6,78.7
109,Senate,19,14709,1,95.2
109,Senate,19,14712,6,72.0
109,Senate,19,14809,1,22.7
109,Senate,19,14812,1,92.3
109,Senate,19,14826,6,94.2
109,Senate,19,14852,6,77.8
109,Senate,19,14858,1,86.5
109,Senate,19,14871,1,81.6
109,Senate,19,14910,6,80.5
109,Senate,19,14912,1,91.6
109,Senate,19,14914,1,82.7
109,Senate,19,14920,1,87.3
109,Senate,19,14921,6,73.5
109,Senate,19,14922,6,4.3
109,Senate,19,15011,1,92.6
109,Senate,19,15015,1,75.5
109,Senate,19,15020,6,84.9
109,Senate,19,15021,1,88.7
109,Senate,19,15039,6,92.2
109,Senate,19,15054,1,94.6
109,Senate,19,15406,6,78.9
109,Senate,19,15424,1,23.5
109,Senate,19,15425,1,92.2
109,Senate,19,15429,6,88.5
109,Senate,19,15501,6,76.5
109,Senate,19,15502,1,96.7
109,Senate,19,15633,1,20.0
109,Senate,19,15701,1,36.7
109,Senate,19,15703,1,76.4
109,Senate,19,15704,1,74.6
109,Senate,19,29108,6,81.4
109,Senate,19,29141,6,80.3
109,Senate,19,29142,1,93.1
109,Senate,19,29148,6,76.3
109,Senate,19,29305,6,12.6
109,Senate,19,29345,1,32.5
109,Senate,19,29369,6,68.4
109,Senate,19,29512,6,67.3
109,Senate,19,29523,6,85.3
109,Senate,19,29537,1,10.4
109,Senate,19,29548,6,77.8
109,Senate,19,29555,1,24.2
109,Senate,19,29566,6,82.6
109,Senate,19,29732,1,94.4
109,Senate,19,29740,6,90.6
109,Senate,19,29754,1,33.1
109,Senate,19,29909,6,74.5
109,Senate,19,29918,6,66.1
109,Senate,19,29936,6,80.5
109,Senate,19,39310,1,82.4
109,Senate,19,40101,1,97.9
109,Senate,19,40103,1,84.4
109,Senate,19,40104,1,87.7
109,Senate,19,40105,1,91.9
109,Senate,19,40300,6,75.8
109,Senate,19,40301,6,6.8
109,Senate,19,40302,6,65.6
109,Senate,19,40303,6,67.3
109,Senate,19,40304,6,77.5
109,Senate,19,40305,6,78.4
109,Senate,19,40500,1,88.7
109,Senate,19,40501,6,86.3
109,Senate,19,40502,1,84.7
109,Senate,19,49300,1,86.5
109,Senate,19,49306,6,71.5
109,Senate,19,49307,6,75.2
109,Senate,19,49308,1,89.6
109,Senate,19,49309,9,48.8
109,Senate,19,49502,6,80.9
109,Senate,19,49700,1,26.2
109,Senate,19,49702,1,93.2
109,Senate,19,49703,6,79.3
109,Senate,19,49704,6,88.8
109,Senate,19,49705,1,29.5
109,Senate,19,49706,1,28.4
109,Senate,19,49901,1,76.7
109,Senate,19,49903,6,93.5
109,Senate,19,49905,6,90.2
109,Senate,19,94240,1,68.2
109,Senate,19,94659,1,44.1
109,Senate,19,99910,6,89.2
109,Senate,43,1366,1,
109,Senate,43,4812,1,
109,Senate,43,10808,1,
109,Senate,43,12109,1,
109,Senate,43,13039,1,
109,Senate,43,14009,1,
109,Senate,43,14031,1,
109,Senate,43,14101,1,
109,Senate,43,14103,1,
