congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
110,Senate,49700,41,0.0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-131.66522,0.78363,540,65,,0.501,0.077,2020,5
110,Senate,94659,41,0.0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.446,0.57,-141.02238,0.77238,546,63,,0.427,0.342,3694,14
110,Senate,12109,81,0.0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-160.3039,0.738,528,65,,0.221,-0.218,4361,20
110,Senate,40300,81,0.0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-153.23502,0.75294,540,62,,0.23,-0.363,3539,3
110,Senate,15039,61,0.0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-42.53879,0.80754,199,17,,0.442,-0.73,4636,12
110,Senate,15429,61,0.0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-131.02793,0.7849,541,56,,0.583,-0.507,2517,10
110,Senate,29305,42,0.0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-94.73876,0.837,534,44,,-0.187,0.221,2286,6
110,Senate,40301,42,0.0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-94.81818,0.841,549,40,,-0.174,0.465,1433,2
110,Senate,15011,71,0.0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-39.20646,0.927,517,14,,-0.486,-0.325,8763,12
110,Senate,49300,71,0.0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,2023.0,-0.268,-0.184,-73.91137,0.87097,535,33,,-0.254,-0.366,6727,8
110,Senate,29108,62,0.0,CO,200,0,1,"ALLARD, A. Wayne",A000109,1943,,0.572,-0.121,-96.18367,0.834,531,43,,0.563,-0.088,1737,8
110,Senate,40500,62,0.0,CO,100,0,1,"SALAZAR, Kenneth Lee",S001163,1955,,-0.223,0.042,-77.20478,0.869,550,35,,-0.202,-0.001,940,1
110,Senate,14213,1,0.0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-54.49703,0.877,417,23,,-0.373,-0.601,6015,16
110,Senate,15704,1,0.0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,2024.0,-0.205,-0.312,-156.74762,0.745,533,68,,-0.133,-0.487,4967,9
110,Senate,14101,11,0.0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-37.64402,0.906,383,14,,-0.386,-0.163,3383,17
110,Senate,15015,11,0.0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.225,-117.42916,0.80553,543,48,,-0.166,-0.277,4569,8
110,Senate,14651,43,0.0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-108.25208,0.81865,541,56,,-0.247,0.028,3691,9
110,Senate,40501,43,0.0,FL,200,0,1,"MARTINEZ, Melquiades R. (Mel)",M001162,1946,,0.333,-0.417,-174.06121,0.726,543,88,,0.344,-0.409,710,1
110,Senate,29512,44,0.0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-118.17378,0.804,541,51,,0.457,0.137,2611,6
110,Senate,29909,44,0.0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,2021.0,0.402,-0.011,-102.63695,0.82661,539,43,,0.436,0.092,3365,4
110,Senate,4812,82,0.0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-75.92887,0.861,507,33,,-0.259,0.041,6253,24
110,Senate,14400,82,0.0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,2018.0,-0.419,0.273,-63.04187,0.892,549,20,,-0.355,-0.028,5331,16
110,Senate,14809,63,0.0,ID,200,0,1,"CRAIG, Larry Edwin",C000858,1945,,0.494,-0.014,-144.69214,0.757,519,71,,0.429,-0.079,3663,13
110,Senate,29345,63,0.0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.505,0.291,-118.99208,0.79958,532,62,,0.459,0.248,4345,7
110,Senate,15021,21,0.0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.342,-0.31,-39.94412,0.92958,547,12,,-0.392,-0.377,10320,12
110,Senate,40502,21,0.0,IL,100,0,1,"OBAMA, Barack",O000167,1961,,-0.343,-0.434,-30.80198,0.903,303,9,,-0.357,-0.512,977,1
110,Senate,14506,22,0.0,IN,200,0,1,"LUGAR, Richard Green",L000504,1932,2019.0,0.304,-0.466,-184.123,0.714,546,93,,0.256,-0.655,4341,15
110,Senate,49901,22,0.0,IN,100,0,1,"BAYH, Evan",B001233,1955,,-0.158,-0.142,-211.47833,0.675,538,90,,-0.078,-0.133,1518,4
110,Senate,14226,31,0.0,IA,200,0,1,"GRASSLEY, Charles Ernest",G000386,1933,,0.362,-0.035,-192.62393,0.70453,550,95,,0.332,0.026,7497,16
110,Senate,14230,31,0.0,IA,100,0,1,"HARKIN, Thomas Richard (Tom)",H000206,1939,,-0.351,-0.546,-65.16713,0.886,536,28,,-0.423,-0.259,5170,16
110,Senate,14852,32,0.0,KS,200,0,1,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.413,-0.09,-162.89546,0.73918,539,82,,0.326,0.087,4769,13
110,Senate,29523,32,0.0,KS,200,0,1,"BROWNBACK, Sam Dale",B000953,1956,,0.439,-0.306,-116.12613,0.764,431,47,,0.425,-0.206,1932,7
110,Senate,14921,51,0.0,KY,200,0,1,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.402,0.017,-111.08746,0.81681,549,43,,0.43,-0.033,2822,11
110,Senate,15406,51,0.0,KY,200,0,1,"BUNNING, James Paul David",B001066,1931,2017.0,0.521,-0.049,-123.81319,0.793,534,62,,0.546,0.087,2471,10
110,Senate,29918,45,0.0,LA,200,0,1,"VITTER, David",V000127,1961,,0.495,0.323,-118.05491,0.801,532,57,,0.565,0.485,2461,4
110,Senate,49702,45,0.0,LA,100,0,1,"LANDRIEU, Mary L.",L000550,1955,,-0.203,0.444,-142.15312,0.767,537,61,,-0.152,0.549,3484,5
110,Senate,14661,2,0.0,ME,200,0,1,"SNOWE, Olympia Jean",S000663,1947,,0.091,-0.548,-176.02011,0.726,550,72,,0.053,-0.438,5264,14
110,Senate,49703,2,0.0,ME,200,0,1,"COLLINS, Susan Margaret",C001035,1952,,0.124,-0.505,-186.36384,0.71259,550,81,,0.097,-0.646,6525,5
110,Senate,14440,52,0.0,MD,100,0,1,"MIKULSKI, Barbara Ann",M000702,1936,,-0.37,-0.128,-82.3516,0.859,542,37,,-0.258,-0.102,8002,15
110,Senate,15408,52,0.0,MD,100,0,1,"CARDIN, Benjamin Louis",C000141,1943,,-0.32,-0.224,-47.44357,0.91692,547,15,,-0.343,-0.323,6262,10
110,Senate,10808,3,0.0,MA,100,0,1,"KENNEDY, Edward Moore (Ted)",K000105,1932,2009.0,-0.443,-0.49,-63.94736,0.866,443,21,,-0.35,-0.608,6975,23
110,Senate,14920,3,0.0,MA,100,0,1,"KERRY, John Forbes",K000148,1943,,-0.352,-0.382,-51.75039,0.907,530,18,,-0.365,-0.538,6369,11
110,Senate,14709,23,0.0,MI,100,0,1,"LEVIN, Carl",L000261,1934,2021.0,-0.395,-0.116,-65.56103,0.887,546,26,,-0.336,-0.038,6423,14
110,Senate,29732,23,0.0,MI,100,0,1,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.019,-70.294,0.87899,545,29,,-0.388,0.24,5436,5
110,Senate,40302,33,0.0,MN,200,0,1,"COLEMAN, Norm",C001057,1949,,0.185,-0.125,-152.00508,0.751,531,74,,0.174,-0.014,1222,2
110,Senate,40700,33,0.0,MN,100,0,1,"KLOBUCHAR, Amy",K000367,1960,,-0.279,-0.326,-78.54051,0.86533,543,35,,-0.3,-0.135,5435,0
110,Senate,14009,46,0.0,MS,200,0,1,"COCHRAN, William Thad",C000567,1937,2019.0,0.287,0.051,-162.31562,0.74162,543,80,,0.335,0.095,6445,17
110,Senate,14031,46,0.0,MS,200,1,1,"LOTT, Chester Trent",L000447,1941,,0.39,0.194,-91.92665,0.762,338,45,,0.437,0.091,4114,17
110,Senate,29534,46,0.0,MS,200,2,2,"WICKER, Roger F.",W000437,1951,,0.377,0.34,-33.07911,0.82954,177,12,,0.397,0.561,4432,6
110,Senate,15501,34,0.0,MO,200,0,1,"BOND, Christopher Samuel (Kit)",B000611,1939,2025.0,0.31,-0.169,-172.26186,0.721,526,79,,0.344,-0.087,2667,10
110,Senate,40701,34,0.0,MO,100,0,1,"McCASKILL, Claire",M001170,1953,,-0.143,0.023,-215.69865,0.6697,538,92,,-0.21,0.364,1508,0
