congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
113,Senate,4,2013-01-28,1,4,62,36,0.195,-0.812,0.46,-0.392,-16.016,HR152,Bill Passed,"A bill making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes.",On Passage of the Bill,
113,Senate,11,2013-01-31,1,11,64,34,0.347,-0.814,0.241,0.062,-22.936,HR325,Bill Passed,"A bill to ensure the complete and timely payment of the obligations of the United States Government until May 19, 2013, and for other purposes.",On Passage of the Bill,
113,Senate,19,2013-02-12,1,19,78,22,0.544,-0.776,1.568,0.64,-26.677,S47,Bill Passed,A bill to reauthorize the Violence Against Women Act of 1994.,On Passage of the Bill,
113,Senate,44,2013-03-20,1,44,73,26,0.163,-0.93,0.178,-0.273,-27.566,HR933,Bill Passed,"Amend the title to read: ""An Act making consolidated appropriations and further continuing appropriations for the fiscal year ending September 30, 2013.""",On Passage of the Bill,
113,Senate,113,2013-05-06,1,113,69,27,-0.462,-0.755,0.387,-2.819,-41.766,S743,Bill Passed,"A bill to restore States' sovereign rights to enforce State and local sales and use tax laws, and for other purposes.",On Passage of the Bill,
113,Senate,124,2013-05-15,1,124,83,14,0.68,0.135,0.279,-0.772,-17.419,S601,Bill Passed,"A bill to provide for the conservation and development of water and related resources, to authorize the Secretary of the Army to construct various projects for improvements to rivers and harbors of the United States, and for other purposes.",On Passage of the Bill,
113,Senate,145,2013-06-10,1,145,66,27,0.632,0.775,0.371,-0.69,-27.256,S954,Bill Passed,An original bill to reauthorize agricultural programs through 2018.,On Passage of the Bill,
113,Senate,168,2013-06-27,1,168,68,32,-0.066,0.912,0.613,1.536,-18.432,S744,Bill Passed,A bill to provide for comprehensive immigration reform and for other purposes.,On Passage of the Bill,
113,Senate,185,2013-07-24,1,185,81,18,-0.342,-0.936,-0.21,-0.145,-26.976,HR1911,Bill Passed,"To amend the Higher Education Act of 1965 to establish interest rates for new loans made on or after July 1, 2013, to direct the Secretary of Education to convene the Advisory Committee on Improving Postsecondary Education Data to conduct a study on improvements to postsecondary education transparency at the Federal level, and for other purposes.",On Passage of the Bill,
113,Senate,203,2013-09-19,1,203,97,2,0.0,0.0,0.0,0.0,0.0,HR527,Bill Passed,"A bill to amend the Helium Act to complete the privatization of the Federal helium reserve in a competitive market fashion that ensures stability in the helium markets while protecting the interests of American taxpayers, and for other purposes.",On Passage of the Bill,
113,Senate,209,2013-09-27,1,209,54,44,0.045,0.006,0.666,-0.622,-0.222,HJRES59,Joint Resolution Passed,"A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.",On the Joint Resolution,
113,Senate,219,2013-10-16,1,219,81,18,0.535,-0.75,0.281,0.053,-21.187,HR2775,Bill Passed,"An act making continuing appropriations for the fiscal year ending September 30, 2014, and for other purposes.",On Passage of the Bill,
113,Senate,232,2013-11-07,1,232,64,32,-0.157,0.827,0.589,1.639,-13.288,S815,Bill Passed,A bill to prohibit employment discrimination on the basis of sexual orientation or gender identity.,On Passage of the Bill,
113,Senate,302,2014-01-15,2,11,86,14,0.507,0.506,1.286,1.24,-18.473,HJRES106,Joint Resolution Passed,"A joint resolution making further continuing appropriations for fiscal year 2014, and for other purposes.",On the Joint Resolution,
113,Senate,310,2014-01-30,2,19,67,32,0.164,-0.614,0.167,-0.24,-28.074,S1926,Bill Passed,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.",On Passage of the Bill,
113,Senate,353,2014-03-10,2,62,97,0,0.0,0.0,0.0,0.0,0.0,S1917,Bill Passed,A bill to provide for additional enhancements of the sexual assault prevention and response activities of the Armed Forces.,On Passage of the Bill,
113,Senate,368,2014-03-13,2,77,96,2,0.0,0.0,0.0,0.0,0.0,S1086,Bill Passed,"A bill to reauthorize and improve the Child Care and Development Block Grant Act of 1990, and for other purposes.",On Passage of the Bill,
113,Senate,369,2014-03-13,2,78,72,22,0.304,0.87,0.131,0.152,-34.79,HR3370,Bill Passed,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012, and for other purposes.",On Passage of the Bill,
113,Senate,384,2014-03-31,2,93,64,35,0.48,0.877,0.159,-0.139,-41.651,HR4302,Bill Passed,"A bill to amend the Social Security Act to extend Medicare payments to physicians and other provisions of the Medicare and Medicaid programs, and for other purposes.",On Passage of the Bill,
113,Senate,392,2014-04-07,2,101,59,38,0.283,-0.165,0.586,1.035,-6.916,HR3979,Bill Passed,A bill to amend the Internal Revenue Code of 1986 to ensure that emergency services volunteers are not taken into account as employees under the shared responsibility requirements contained in the Patient Protection and Affordable Care Act.,On Passage of the Bill,
113,Senate,478,2014-06-11,2,187,93,3,0.889,-0.458,1.703,-1.368,-12.107,HR3230,Bill Passed,"To improve the access of veterans to medical services from the Department of Veterans Affairs, and for other purposes.",On Passage of the Bill,
113,Senate,505,2014-06-25,2,214,95,3,0.956,-0.187,1.539,-1.092,-6.699,HR803,Bill Passed,"An act to amend the Workforce Investment Act of 1998 to strengthen the United States workforce development system through innovation in, and alignment and improvement of, employment, training, and education programs in the United States, and to promote individual and national economic growth, and for other purposes.",On Passage of the Bill,
113,Senate,522,2014-07-17,2,231,93,4,0.994,-0.108,1.829,-0.328,-12.521,S2244,Bill Passed,"A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",On Passage of the Bill,
113,Senate,539,2014-07-29,2,248,79,18,0.362,-0.93,0.414,-0.333,-18.32,HR5021,Bill Passed,"A bill to provide an extension of Federal-aid highway, highway safety, motor carrier safety, transit, and other programs funded out of the Highway Trust Fund, and for other purposes.",On Passage of the Bill,
