congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,2,2015-01-08,1,2,93,4,-0.334,-0.915,-0.117,-0.604,-11.793,HR26,Bill Passed,"A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",On Passage of the Bill,
114,Senate,49,2015-01-29,1,49,62,36,-0.174,-0.155,-0.405,-0.46,-9.933,S1,Bill Passed,A bill to approve the Keystone XL Pipeline.,On Passage of the Bill,
114,Senate,50,2015-02-03,1,50,99,0,0.0,0.0,0.0,0.0,0.0,HR203,Bill Passed,"A bill to direct the Secretary of Veterans Affairs to provide for the conduct of annual evaluations of mental health care and suicide prevention programs of the Department of Veterans Affairs, to require a pilot program on loan repayment for psychiatrists who agree to serve in the Veterans Health Administration of the Department of Veterans Affairs, and for other purposes.",On Passage of the Bill,
114,Senate,55,2015-02-11,1,55,98,0,0.0,0.0,0.0,0.0,0.0,S295,Bill Passed,"A bill to amend section 2259 of title 18, United States Code, and for other purposes.",On Passage of the Bill,
114,Senate,62,2015-02-27,1,62,68,31,0.407,0.075,0.265,0.69,-27.253,HR240,Bill Passed,"A bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes.",On Passage of the Bill,
114,Senate,67,2015-03-04,1,67,53,46,0.132,-0.097,-0.417,0.06,-2.601,SJRES8,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation case procedures.",On the Joint Resolution,
114,Senate,144,2015-04-14,1,144,92,8,0.701,-0.074,0.336,0.326,-17.166,HR2,Bill Passed,"A bill to amend title XVIII of the Social Security Act to repeal the Medicare sustainable growth rate and strengthen Medicare access by improving physician payments and making other improvements, to reauthorize the Children's Health Insurance Program, and for other purposes.",On Passage of the Bill,
114,Senate,163,2015-04-22,1,163,99,0,0.0,0.0,0.0,0.0,0.0,S178,Bill Passed,A bill to provide justice for the victims of trafficking.,On Passage of the Bill,
114,Senate,174,2015-05-07,1,174,98,1,0.0,0.0,0.0,0.0,0.0,HR1191,Bill Passed,"A bill to provide for congressional review and oversight of agreements relating to Iran's nuclear program, and for other purposes.",On Passage of the Bill,
114,Senate,178,2015-05-14,1,178,97,1,0.0,0.0,0.0,0.0,0.0,HR1295,Bill Passed,"An act to extend the African Growth and Opportunity Act, the Generalized System of Preferences, the preferential duty treatment program for Haiti, and for other purposes.",On Passage of the Bill,
114,Senate,179,2015-05-14,1,179,78,20,0.473,-0.311,0.175,-0.274,-30.831,HR644,Bill Passed,"An act to reauthorize trade facilitation and trade enforcement functions and activities, and for other purposes.",On Passage of the Bill,
114,Senate,193,2015-05-22,1,193,62,37,-0.201,-0.051,-0.124,0.049,-39.549,HR1314,Bill Passed,A bill to amend the Internal Revenue Code of 1986 to provide for a right to an administrative appeal relating to adverse determinations of tax-exempt status of certain organizations.,On Passage of the Bill,
114,Senate,201,2015-06-02,1,201,67,32,0.449,0.138,0.104,0.159,-49.526,HR2048,Bill Passed,"A bill to reform the authorities of the Federal Government to require the production of certain business records, conduct electronic surveillance, use pen registers and trap and trace devices, and use other forms of information gathering for foreign intelligence, counterterrorism, and criminal purposes, and for other purposes.",On Passage of the Bill,
114,Senate,215,2015-06-18,1,215,71,25,-0.364,-0.221,-0.162,-0.065,-32.46,HR1735,Bill Passed,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On Passage of the Bill,
114,Senate,249,2015-07-16,1,249,81,17,0.705,0.356,0.15,0.082,-32.711,S1177,Bill Passed,An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.,On Passage of the Bill,
114,Senate,260,2015-07-30,1,260,65,34,0.035,0.055,-0.014,0.055,-67.15,HR22,Bill Passed,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",On Passage of the Bill,
114,Senate,261,2015-07-30,1,261,91,4,0.862,-0.366,0.254,-0.083,-16.619,HR3236,Bill Passed,"A bill to provide an extension of Federal-aid highway, highway safety, motor carrier safety, transit, and other programs funded out of the Highway Trust Fund, to provide resource flexibility to the Department of Veterans Affairs for health care services, and for other purposes.",On Passage of the Bill,
114,Senate,291,2015-10-27,1,291,74,21,-0.456,-0.601,-0.097,-0.154,-41.505,S754,Bill Passed,"An original bill to improve cybersecurity in the United States through enhanced sharing of information about cybersecurity threats, and for other purposes.",On Passage of the Bill,
114,Senate,297,2015-11-04,1,297,53,44,-0.007,-0.1,-0.387,-0.638,-3.247,SJRES22,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Corps of Engineers and the Environmental Protection Agency relating to the definition of ""waters of the United States"" under the Federal Water Pollution Control Act.",On the Joint Resolution,
114,Senate,302,2015-11-10,1,302,93,0,0.0,0.0,0.0,0.0,0.0,HR2029,Bill Passed,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On Passage of the Bill,
114,Senate,306,2015-11-17,1,306,52,46,0.062,-0.094,-0.318,-0.916,-4.862,SJRES24,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units"".",On the Joint Resolution,
114,Senate,307,2015-11-17,1,307,52,46,0.062,-0.094,-0.318,-0.916,-4.862,SJRES23,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Environmental Protection Agency relating to ""Standards of Performance for Greenhouse Gas Emissions from New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units"".",On the Joint Resolution,
114,Senate,329,2015-12-03,1,329,52,47,0.162,-0.084,-0.431,-0.305,-2.494,HR3762,Bill Passed,A bill to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016.,On Passage of the Bill,
114,Senate,359,2016-02-10,2,20,96,0,0.0,0.0,0.0,0.0,0.0,HR757,Bill Passed,"A bill to improve the enforcement of sanctions against the Government of North Korea, and for other purposes.",On Passage of the Bill,
114,Senate,373,2016-03-10,2,34,94,1,0.0,0.0,0.0,0.0,0.0,S524,Bill Passed,A bill to authorize the Attorney General to award grants to address the national epidemics of prescription opioid abuse and heroin use.,On Passage of the Bill,
114,Senate,378,2016-04-04,2,39,87,0,0.0,0.0,0.0,0.0,0.0,S1890,Bill Passed,"A bill to amend chapter 90 of title 18, United States Code, to provide Federal jurisdiction for the theft of trade secrets, and for other purposes.",On Passage of the Bill,
114,Senate,386,2016-04-19,2,47,95,3,0.382,-0.922,0.076,-0.758,-10.323,HR636,Bill Passed,"An act to amend title 49, United States Code, to authorize appropriations for the Federal Aviation Administration for fiscal years 2016 through 2017, and for other purposes.",On Passage of the Bill,
114,Senate,393,2016-04-20,2,54,85,12,0.624,-0.083,0.336,0.232,-18.593,S2012,Bill Passed,"An original bill to provide for the modernization of the energy policy of the United States, and for other purposes.",On Passage of the Bill,
114,Senate,410,2016-05-12,2,71,90,8,0.682,-0.171,0.288,-0.09,-13.313,HR2028,Bill Passed,"A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On Passage of the Bill,
114,Senate,421,2016-05-19,2,82,89,8,0.683,0.027,0.264,0.227,-15.936,HR2577,Bill Passed,"A bill making appropriations for the Departments of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",On Passage of the Bill,
114,Senate,422,2016-05-23,2,83,89,0,0.0,0.0,0.0,0.0,0.0,S2613,Bill Passed,A bill to reauthorize certain programs established by the Adam Walsh Child Protection and Safety Act of 2006.,On Passage of the Bill,
114,Senate,423,2016-05-24,2,84,56,41,-0.067,-0.116,-0.379,-0.251,-6.03,HJRES88,Joint Resolution Passed,"A joint resolution disapproving the rule submitted by the Department of Labor relating to the definition of the term ""Fiduciary"".",On the Joint Resolution,
114,Senate,425,2016-05-25,2,86,55,43,0.127,0.091,-0.0,0.274,-62.672193,SJRES28,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Secretary of Agriculture relating to inspection of fish of the order Siluriformes.",On the Joint Resolution,
114,Senate,437,2016-06-14,2,98,85,13,0.082,0.997,-0.014,0.288,-37.763,S2943,Bill Passed,"An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On Passage of the Bill,
114,Senate,480,2016-09-15,2,141,95,3,0.868,-0.25,0.464,-0.177,-6.704,S2848,Bill Passed,"A bill to provide for the conservation and development of water and related resources, to authorize the Secretary of the Army to construct various projects for improvements to rivers and harbors of the United States, and for other purposes.",On Passage of the Bill,
114,Senate,482,2016-09-19,2,143,89,0,0.0,0.0,0.0,0.0,0.0,HR5985,Bill Passed,"A bill to amend title 38, United States Code, to extend certain expiring provisions of law administered by the Secretary of Veterans Affairs, and for other purposes.",On Passage of the Bill,
114,Senate,490,2016-09-28,2,151,72,26,0.211,-0.691,0.022,-0.271,-52.043,HR5325,Bill Passed,"A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2017, and for other purposes.",On Passage of the Bill,
114,Senate,491,2016-11-15,2,152,97,0,0.0,0.0,0.0,0.0,0.0,HR4511,Bill Passed,A bill to amend the Veterans' Oral History Project Act to allow the collection of video and audio recordings of biographical histories by immediate family members of members of the Armed Forces who died as a result of their service during a period of war.,On Passage of the Bill,
114,Senate,493,2016-11-29,2,154,97,0,0.0,0.0,0.0,0.0,0.0,S2873,Bill Passed,"A bill to require studies and reports examining the use of, and opportunities to use, technology-enabled collaborative learning and capacity building models to improve programs of the Department of Health and Human Services, and for other purposes.",On Passage of the Bill,
114,Senate,494,2016-12-01,2,155,99,0,0.0,0.0,0.0,0.0,0.0,HR6297,Bill Passed,A bill to reauthorize the Iran Sanctions Act of 1996.,On Passage of the Bill,
