congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.32,0.283,,,,,,,
117,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954,,0.936,-0.352,-90.88991,0.90271,888,35,,0.857,-0.224
117,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.446,0.57,-163.57584,0.82305,840,90,,0.536,0.494
117,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-137.32753,0.84951,842,63,,0.212,-0.371
117,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.476,0.159,-251.51949,0.74463,853,113,,0.484,0.069
117,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-40.94784,0.95402,870,11,,-0.153,0.212
117,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964,,-0.263,0.281,-38.18322,0.95791,888,19,,-0.217,0.42
117,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.427,0.338,-172.4242,0.82565,900,76,,0.546,0.322
117,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.579,0.195,-125.36425,0.86847,889,52,,0.641,0.206
117,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.709,-0.105,-0.00037,0.99981,2,0,,0.0,0.0
117,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973,,-0.426,-0.252,-11.33972,0.98738,893,3,,-0.418,-0.381
117,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,2023.0,-0.268,-0.184,-9.42012,0.98821,794,1,,-0.296,-0.196
117,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.24,-0.184,-16.50956,0.98156,887,6,,-0.287,-0.026
