congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,dem_cosponsors,rep_cosponsors
118,Senate,35,2023-03-01,1,35,50,46,-0.069,-0.162,-0.662,-0.652,-3.28,HJRES30,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to ""Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights"".",On the Joint Resolution,,0,119
118,Senate,49,2023-03-08,1,49,81,14,-0.232,-0.973,-0.255,-0.405,-20.671,HJRES26,Joint Resolution Passed,A joint resolution disapproving the action of the District of Columbia Council in approving the Revised Criminal Code Act of 2022.,On the Joint Resolution,,0,46
118,Senate,77,2023-03-29,1,77,66,30,-0.357,0.934,0.181,0.821,-30.7,S316,Bill Passed,A bill to repeal the authorizations for use of military force against Iraq.,On Passage of the Bill,,31,12
118,Senate,79,2023-03-29,1,79,53,43,-0.104,-0.054,-0.485,-1.266,-6.018,HJRES27,Bill Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to ""Revised Definition of 'Waters of the United States'"".",On Passage of the Bill,,0,170
118,Senate,80,2023-03-29,1,80,68,23,-0.137,-0.507,-0.457,-1.444,-16.936,HJRES7,Bill Passed,"A joint resolution relating to a national emergency declared by the President on March 13, 2020.",On Passage of the Bill,,0,68
118,Senate,94,2023-04-20,1,94,95,2,0.0,0.0,0.0,0.0,0.0,S870,Bill Passed,A bill to amend the Federal Fire Prevention and Control Act of 1974 to authorize appropriations for the United States Fire Administration and firefighter assistance grant programs.,On Passage of the Bill,,5,6
118,Senate,98,2023-04-26,1,98,50,49,-0.058,0.041,-0.689,-0.435,-0.864,SJRES11,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Control of Air Pollution From New Motor Vehicles: Heavy-Duty Engine and Vehicle Standards"".",On the Joint Resolution,,1,36
118,Senate,109,2023-05-03,1,109,56,41,-0.185,0.983,-0.215,-0.049,-26.308,HJRES39,Joint Resolution Passed,"A joint resolution disapproving the rule submitted by the Department of Commerce relating to ""Procedures Covering Suspension of Liquidation, Duties and Estimated Duties in Accord With Presidential Proclamation 10414"".",On the Joint Resolution,,5,5
118,Senate,110,2023-05-03,1,110,50,48,-0.053,0.023,-0.686,-0.459,-0.854,SJRES9,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status with Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment"".",On the Joint Resolution,,0,5
118,Senate,122,2023-05-11,1,122,51,49,-0.103,0.057,-0.713,0.002,-2.933,SJRES23,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Marine Fisheries Service relating to ""Endangered and Threatened Wildlife and Plants; Regulations for Listing Endangered and Threatened Species and Designating Critical Habitat"".",On the Joint Resolution,,0,20
118,Senate,123,2023-05-11,1,123,51,49,-0.042,0.999,-0.706,0.164,-5.237,SJRES24,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Endangered Species Status for Northern Long-Eared Bat"".",On the Joint Resolution,,1,13
118,Senate,126,2023-05-16,1,126,56,43,-0.183,-0.035,-0.549,-1.103,-10.717,HJRES42,Joint Resolution Passed,A joint resolution disapproving the action of the District of Columbia Council in approving the Comprehensive Policing and Justice Reform Amendment Act of 2022.,On the Joint Resolution,,0,19
118,Senate,130,2023-05-17,1,130,50,47,-0.088,-0.068,-0.657,-0.678,-3.556,SJRES18,Joint Resolution Passed,"A joint resolution disapproving of the rule submitted by the Department of Homeland Security relating to ""Public Charge Ground of Inadmissibility"".",On the Joint Resolution,,0,12
118,Senate,135,2023-06-01,1,135,52,46,-0.116,0.006,-0.602,-0.921,-3.604,HJRES45,Joint Resolution Passed,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Waivers and Modifications of Federal Student Loans"".",On the Joint Resolution,,0,94
118,Senate,146,2023-06-01,1,146,63,36,0.548,0.836,0.207,-0.192,-33.344,HR3746,Bill Passed,A bill to provide for a responsible increase to the debt ceiling.,On Passage of the Bill,,0,0
118,Senate,171,2023-06-22,1,171,49,50,0.035,-0.062,-0.692,0.434,-0.126,HJRES44,Joint Resolution Defeated,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Alcohol, Tobacco, Firearms, and Explosives relating to ""Factoring Criteria for Firearms with Attached 'Stabilizing Braces'"".",On the Joint Resolution,,0,188
118,Senate,212,2023-07-27,1,212,86,11,-0.743,-0.023,-0.324,-1.297,-15.221,S2226,Bill Passed,"An original bill to authorize appropriations for fiscal year 2024 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On Passage of the Bill,,0,0
118,Senate,247,2023-09-30,1,247,88,9,0.614,0.789,0.425,0.345,-11.83,HR5860,Bill Passed,,On Passage of the Bill,,0,0
