congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
115,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.378,0.379,-101.60037,0.89796,944,65,,0.397,0.482
115,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.402,0.394,-89.83128,0.90531,903,33,,-0.398,0.356
115,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-65.06628,0.93305,939,23,,0.41,0.596
115,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.652,-0.417,-175.7437,0.8235,905,80,,0.672,-0.553
115,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-63.13015,0.9361,956,19,,0.577,0.429
115,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.674,0.114,-72.67685,0.9259,944,40,,0.763,0.066
115,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.405,0.469,-68.63912,0.92803,919,19,,0.395,0.605
115,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-204.73558,0.80164,926,92,,0.277,0.315
115,House,20304,61,8,AZ,200,,,"FRANKS, Trent",F000448,1957,,0.749,0.087,-45.67247,0.91933,543,23,,0.621,-0.006
115,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.264,-43.24857,0.95364,911,11,,-0.632,-0.216
115,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.704,-0.518,-164.18415,0.83492,910,85,,0.991,-0.136
115,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.553,-0.22,-113.34484,0.88798,954,38,,0.586,-0.294
115,House,21300,61,9,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-262.73192,0.74413,889,133,,-0.097,0.124
115,House,21501,61,2,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.027,-141.95528,0.8597,939,84,,0.391,-0.029
115,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.363,0.148,-112.94262,0.88576,931,54,,-0.432,-0.01
115,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.818,-0.575,-183.10517,0.82553,955,104,,0.991,-0.136
115,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.198,0.18,-197.9653,0.81207,951,84,,-0.167,0.128
115,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.616,-0.104,-26.68923,0.89679,245,10,,0.718,-0.054
115,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.461,0.305,-59.19752,0.93814,927,17,,0.495,0.285
115,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.636,-70.4229,0.92913,958,22,,0.437,0.349
115,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.436,0.277,-94.78973,0.90475,947,50,,0.494,0.204
115,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.544,0.257,-63.51808,0.93565,955,21,,0.59,0.174
115,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.489,-0.179,-62.55331,0.92945,855,40,,-0.438,-0.197
115,House,15621,71,48,CA,200,,,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-191.72548,0.8128,925,77,,0.609,-0.549
115,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.352,-0.118,-75.74565,0.9236,953,30,,-0.395,-0.075
115,House,20107,71,49,CA,200,,,"ISSA, Darrell",I000056,1953,,0.476,0.03,-97.49954,0.89808,907,38,,0.449,-0.096
115,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-78.14213,0.91924,928,33,,-0.324,-0.287
115,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.45,0.223,-68.05617,0.93051,945,24,,0.374,0.492
115,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.131,-58.84283,0.93882,932,22,,-0.539,0.104
115,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.199,0.448,-224.4986,0.76025,819,99,,-0.2,0.483
115,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.143,-83.2337,0.91543,942,46,,-0.403,-0.131
115,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.263,-0.159,-110.54488,0.88815,932,38,,-0.303,-0.272
115,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.453,0.233,-62.89983,0.93561,945,17,,0.464,0.25
115,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.381,-0.41,-81.86436,0.90488,819,29,,-0.358,-0.539
115,House,20903,71,4,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.67,-0.366,-141.7046,0.86183,953,49,,0.919,-0.395
115,House,20955,71,27,CA,100,,,"CHU, Judy",C001080,1953,,-0.481,-0.37,-58.99372,0.93898,937,23,,-0.452,-0.719
