congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1,2017-01-03,1,2,239,194,-0.146,0.989,-0.486,-0.439,-6.384,,Ryan (WI),,Election of the Speaker,
115,House,2,2017-01-03,1,3,228,184,0.017,0.047,-0.715,0.118,-0.252,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,Table Motion to Refer,
115,House,3,2017-01-03,1,4,237,193,0.016,0.045,-0.715,0.12,-0.253,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,On Ordering the Previous Question,
115,House,4,2017-01-03,1,5,193,236,0.016,0.045,0.715,-0.12,-0.253,HRES5,Failed,Adopting rules for the One Hundred Fifteenth Congress,Motion to Commit,
115,House,5,2017-01-03,1,6,234,193,-0.198,0.98,-0.482,-0.638,-11.538,HRES5,Passed,Adopting rules for the One Hundred Fifteenth Congress,On Agreeing to the Resolution,
115,House,6,2017-01-04,1,7,183,236,-0.057,-0.011,0.717,-0.096,-1.997,HR21,Failed,Midnight Rules Relief Act of 2017,On Motion to Recommit with Instructions,
115,House,7,2017-01-04,1,8,238,184,-0.1,0.129,-0.619,-0.862,-5.376,HR21,Passed,Midnight Rules Relief Act of 2017,On Passage,
115,House,8,2017-01-05,1,9,235,188,0.246,-0.969,-0.461,-0.525,-13.48,HRES22,Passed,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Ordering the Previous Question,
115,House,9,2017-01-05,1,10,231,187,-0.013,0.592,-0.688,-0.517,-3.721,HRES22,Passed,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,
115,House,10,2017-01-05,1,11,342,80,-0.263,-0.438,-0.144,-0.433,-122.441,HRES11,Passed,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,
115,House,11,2017-01-05,1,12,235,185,-0.031,0.108,-0.662,-0.644,-1.733,HR26,Agreed to,,On Agreeing to the Amendment,
115,House,12,2017-01-05,1,13,193,230,0.228,-0.382,0.657,1.05,-21.522,HR26,Failed,,On Agreeing to the Amendment,
115,House,13,2017-01-05,1,14,190,233,0.124,0.992,0.385,-0.143,-13.975,HR26,Failed,,On Agreeing to the Amendment,
115,House,14,2017-01-05,1,15,186,232,-0.031,0.113,0.663,0.64,-1.749,HR26,Failed,,On Agreeing to the Amendment,
115,House,15,2017-01-05,1,16,192,231,0.063,0.587,0.741,0.43,-10.909,HR26,Failed,,On Agreeing to the Amendment,
115,House,16,2017-01-05,1,17,190,234,0.017,0.045,0.715,-0.12,-0.254,HR26,Failed,,On Agreeing to the Amendment,
115,House,17,2017-01-05,1,18,194,231,0.022,1.0,0.321,0.094,-23.423,HR26,Failed,,On Agreeing to the Amendment,
115,House,18,2017-01-05,1,19,190,235,0.017,0.045,0.715,-0.12,-0.254,HR26,Failed,,On Agreeing to the Amendment,
115,House,19,2017-01-05,1,20,193,232,0.075,0.008,0.296,-0.035,-17.119,HR26,Failed,,On Agreeing to the Amendment,
115,House,20,2017-01-05,1,21,230,193,0.116,-0.779,-0.709,0.077,-20.593,HR26,Agreed to,,On Agreeing to the Amendment,
115,House,21,2017-01-05,1,22,190,235,0.017,0.045,0.715,-0.12,-0.254,HR26,Failed,Regulations from the Executive in Need of Scrutiny Act of 2017,On Motion to Recommit with Instructions,
115,House,22,2017-01-05,1,23,237,187,-0.043,0.076,-0.622,-0.846,-3.179,HR26,Passed,Regulations from the Executive in Need of Scrutiny Act of 2017,On Passage,
115,House,23,2017-01-09,1,24,405,0,0.0,0.0,0.0,0.0,0.0,HR315,Passed,Improving Access to Maternity Care Act,On Motion to Suspend the Rules and Pass,
115,House,24,2017-01-09,1,25,404,0,0.0,0.0,0.0,0.0,0.0,HR304,Passed,Protecting Patient Access to Emergency Medications Act of 2017,On Motion to Suspend the Rules and Pass,
115,House,25,2017-01-10,1,26,234,179,0.084,-0.996,-0.484,-0.251,-7.779,HRES33,Passed,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,On Ordering the Previous Question,
115,House,26,2017-01-10,1,27,233,183,0.017,0.047,-0.715,0.116,-0.258,HRES33,Passed,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,On Agreeing to the Resolution,
115,House,27,2017-01-10,1,28,248,162,-0.726,-0.688,-0.075,0.206,-268.798,,Passed,,On Approving the Journal,
115,House,28,2017-01-10,1,29,167,249,-0.141,0.99,0.358,-0.002,-40.996,HR79,Failed,,On Agreeing to the Amendment,
115,House,29,2017-01-10,1,30,163,253,-0.226,-0.179,0.649,-0.698,-32.284,HR79,Failed,,On Agreeing to the Amendment,
115,House,30,2017-01-10,1,31,344,73,-0.408,0.525,-0.559,0.052,-82.084,HR79,Passed,Helping Angels Lead Our Startups (HALOS) Act,On Passage,
