congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
115,Senate,41704,41,0,AL,200,,,"STRANGE, Luther  Johnson, III",S001202,1953,,0.56,0.18,-10.12332,0.95801,236,4,,0.57,0.225
115,Senate,41705,41,0,AL,100,,,"JONES, Gordon Douglas (Doug)",J000300,1954,,-0.088,0.187,-37.36526,0.84182,217,19,,-0.113,0.108
115,Senate,49700,41,0,AL,200,,,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-0.56654,0.97062,19,0,,0.357,0.241
115,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.446,0.57,-26.8573,0.94957,519,14,,0.394,0.49
115,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.203,-0.304,-62.90466,0.8831,506,21,,0.229,-0.259
115,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.476,0.159,-40.22399,0.92358,506,15,,0.47,0.008
115,Senate,15039,61,0,AZ,200,,,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-41.58471,0.85272,261,18,,0.394,-0.762
115,Senate,15429,61,0,AZ,200,,,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.413,-8.46959,0.87605,64,2,,0.586,0.272
115,Senate,20100,61,0,AZ,200,,,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-62.93724,0.87639,477,28,,0.853,-0.522
115,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.427,0.338,-18.70697,0.9646,519,4,,0.383,0.333
115,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.579,0.195,-31.84575,0.94082,522,12,,0.581,0.202
115,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.709,-0.105,-50.68641,0.90713,520,21,,-0.693,-0.068
115,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,2023.0,-0.268,-0.184,-101.99567,0.81069,486,44,,-0.331,-0.325
115,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.444,-0.029,-42.36518,0.92176,520,16,,0.44,-0.124
115,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.24,-0.184,-78.1852,0.8604,520,31,,-0.2,-0.148
115,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.286,-0.255,-70.84594,0.8724,519,27,,-0.299,-0.044
115,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.434,-0.157,-83.02678,0.85243,520,36,,-0.448,-0.023
115,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.225,-67.46989,0.87743,516,22,,-0.183,-0.242
115,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.238,-0.217,-74.66805,0.8623,504,33,,-0.214,0.001
115,Senate,14651,43,0,FL,100,,,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-61.43426,0.88148,487,16,,-0.193,0.163
115,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.616,-0.184,-46.50595,0.90892,487,22,,0.538,-0.065
115,Senate,29909,44,0,GA,200,,,"ISAKSON, Johnny",I000055,1944,2021.0,0.402,-0.011,-23.40168,0.95082,464,9,,0.359,0.181
115,Senate,41501,44,0,GA,200,,,"PERDUE, David Alfred, Jr.",P000612,1949,,0.562,-0.075,-38.31385,0.9287,518,16,,0.517,0.107
115,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.514,-0.092,-78.17084,0.85789,510,35,,-0.441,-0.146
115,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972,,-0.449,-0.113,-100.525,0.82236,514,38,,-0.406,-0.076
115,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.505,0.291,-35.59453,0.93347,517,15,,0.583,0.337
115,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943,,0.551,0.384,-36.82139,0.93177,521,19,,0.711,0.367
115,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.342,-0.31,-77.77047,0.85857,510,35,,-0.324,-0.466
115,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.344,0.061,-63.57765,0.87144,462,31,,-0.415,0.165
115,Senate,20717,22,0,IN,100,,,"DONNELLY, Joe",D000607,1955,,-0.119,0.435,-64.56938,0.88216,515,17,,-0.134,0.561
115,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.438,-0.022,-41.45212,0.92324,519,14,,0.367,-0.059
115,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.362,-0.035,-45.60037,0.91635,522,21,,0.459,-0.055
115,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.538,-0.033,-33.87088,0.93706,521,13,,0.525,-0.029
115,Senate,14852,32,0,KS,200,,,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.413,-0.09,-21.34444,0.95956,517,8,,0.342,0.167
115,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.414,0.22,-61.38246,0.8849,502,27,,0.475,-0.278
115,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.402,0.017,-30.88993,0.94243,521,7,,0.386,-0.024
115,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.891,-0.454,-158.15531,0.72929,501,77,,0.879,-0.477
115,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.463,-0.047,-37.19403,0.93046,516,19,,0.437,-0.105
115,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.561,-0.154,-90.82172,0.84003,521,23,,0.482,0.462
115,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.167,-0.19,-86.12892,0.8479,522,42,,-0.14,-0.184
