congress,chamber,rollnumber,icpsr,cast_code,prob
118,Senate,35,14226,1,100.0
118,Senate,35,14435,6,100.0
118,Senate,35,14858,6,100.0
118,Senate,35,14871,6,100.0
118,Senate,35,14921,1,100.0
118,Senate,35,15015,6,93.0
118,Senate,35,15021,6,100.0
118,Senate,35,15408,6,99.9
118,Senate,35,20101,1,100.0
118,Senate,35,20146,1,100.0
118,Senate,35,20330,6,100.0
118,Senate,35,20351,1,100.0
118,Senate,35,20707,6,99.7
118,Senate,35,20713,6,100.0
118,Senate,35,20735,6,100.0
118,Senate,35,20750,6,100.0
118,Senate,35,20919,1,100.0
118,Senate,35,20923,6,98.7
118,Senate,35,20930,6,99.7
118,Senate,35,20932,6,99.9
118,Senate,35,20953,1,100.0
118,Senate,35,21133,1,100.0
118,Senate,35,21166,1,100.0
118,Senate,35,21173,1,100.0
118,Senate,35,21301,1,100.0
118,Senate,35,21325,6,99.7
118,Senate,35,21338,1,100.0
118,Senate,35,21350,1,100.0
118,Senate,35,21355,1,100.0
118,Senate,35,21708,1,100.0
118,Senate,35,21734,1,100.0
118,Senate,35,21743,6,93.9
118,Senate,35,29142,6,100.0
118,Senate,35,29147,6,100.0
118,Senate,35,29345,9,100.0
118,Senate,35,29373,6,100.0
118,Senate,35,29389,6,100.0
118,Senate,35,29534,1,100.0
118,Senate,35,29566,1,100.0
118,Senate,35,29722,1,100.0
118,Senate,35,29732,6,99.8
118,Senate,35,29754,1,100.0
118,Senate,35,29940,6,100.0
118,Senate,35,39310,6,100.0
118,Senate,35,40300,1,99.8
118,Senate,35,40305,1,100.0
118,Senate,35,40700,6,99.8
118,Senate,35,40702,1,14.1
118,Senate,35,40703,6,98.5
118,Senate,35,40704,6,99.9
118,Senate,35,40707,1,100.0
118,Senate,35,40902,1,100.0
118,Senate,35,40906,6,96.6
118,Senate,35,40908,9,100.0
118,Senate,35,40909,6,93.0
118,Senate,35,40910,6,98.3
118,Senate,35,40915,1,89.7
118,Senate,35,40916,6,98.5
118,Senate,35,41101,6,100.0
118,Senate,35,41102,1,100.0
118,Senate,35,41104,1,100.0
118,Senate,35,41107,1,100.0
118,Senate,35,41110,1,100.0
118,Senate,35,41111,1,100.0
118,Senate,35,41112,6,100.0
118,Senate,35,41300,6,89.6
118,Senate,35,41301,6,100.0
118,Senate,35,41302,1,100.0
118,Senate,35,41304,1,100.0
118,Senate,35,41305,6,97.5
118,Senate,35,41308,6,100.0
118,Senate,35,41500,1,100.0
118,Senate,35,41502,1,100.0
118,Senate,35,41504,1,100.0
118,Senate,35,41505,1,100.0
118,Senate,35,41700,6,98.2
118,Senate,35,41702,6,93.6
118,Senate,35,41703,1,100.0
118,Senate,35,41706,6,100.0
118,Senate,35,41707,1,100.0
118,Senate,35,41900,1,100.0
118,Senate,35,41901,1,100.0
118,Senate,35,41902,1,100.0
118,Senate,35,41903,1,100.0
118,Senate,35,41905,6,91.4
118,Senate,35,42100,1,100.0
118,Senate,35,42101,6,98.7
118,Senate,35,42102,1,100.0
118,Senate,35,42103,6,99.8
118,Senate,35,42104,6,100.0
118,Senate,35,42105,6,99.7
118,Senate,35,42300,1,100.0
118,Senate,35,42301,9,77.7
118,Senate,35,42302,1,100.0
118,Senate,35,42303,1,100.0
118,Senate,35,42304,1,100.0
118,Senate,35,49300,9,99.3
118,Senate,35,49308,6,100.0
118,Senate,35,49703,1,94.3
118,Senate,35,91300,6,60.7
118,Senate,49,14226,1,100.0
118,Senate,49,14435,6,82.6
118,Senate,49,14858,1,58.2
118,Senate,49,14871,1,58.8
118,Senate,49,14921,1,100.0
118,Senate,49,15015,9,95.5
118,Senate,49,15021,6,31.7
118,Senate,49,15408,6,22.2
118,Senate,49,20101,1,100.0
118,Senate,49,20146,1,100.0
118,Senate,49,20330,6,39.9
118,Senate,49,20351,1,100.0
118,Senate,49,20707,6,17.2
118,Senate,49,20713,6,59.2
118,Senate,49,20735,1,40.6
118,Senate,49,20750,6,53.7
118,Senate,49,20919,1,100.0
118,Senate,49,20923,1,90.3
118,Senate,49,20930,1,84.2
118,Senate,49,20932,1,77.8
118,Senate,49,20953,1,100.0
118,Senate,49,21133,1,100.0
118,Senate,49,21166,1,100.0
118,Senate,49,21173,1,100.0
118,Senate,49,21301,1,100.0
118,Senate,49,21325,6,15.4
118,Senate,49,21338,1,100.0
118,Senate,49,21350,1,100.0
118,Senate,49,21355,1,100.0
118,Senate,49,21708,1,100.0
118,Senate,49,21734,1,100.0
118,Senate,49,21743,1,94.8
118,Senate,49,29142,6,27.5
118,Senate,49,29147,6,84.4
118,Senate,49,29345,1,100.0
118,Senate,49,29373,1,73.2
118,Senate,49,29389,1,61.4
118,Senate,49,29534,1,100.0
118,Senate,49,29566,1,100.0
118,Senate,49,29722,1,100.0
118,Senate,49,29732,1,82.2
118,Senate,49,29754,1,100.0
118,Senate,49,29940,1,44.6
118,Senate,49,39310,1,71.1
118,Senate,49,40300,1,100.0
118,Senate,49,40305,1,100.0
118,Senate,49,40700,1,81.0
118,Senate,49,40702,1,97.2
118,Senate,49,40703,1,90.9
118,Senate,49,40704,6,23.3
118,Senate,49,40707,1,100.0
118,Senate,49,40902,9,100.0
118,Senate,49,40906,1,93.7
118,Senate,49,40908,6,85.2
118,Senate,49,40909,1,95.8
118,Senate,49,40910,1,91.3
118,Senate,49,40915,1,99.8
118,Senate,49,40916,1,90.7
118,Senate,49,41101,1,55.4
118,Senate,49,41102,1,100.0
118,Senate,49,41104,1,99.6
118,Senate,49,41107,1,100.0
118,Senate,49,41110,1,99.6
118,Senate,49,41111,1,100.0
118,Senate,49,41112,1,54.6
118,Senate,49,41300,1,96.6
118,Senate,49,41301,6,96.5
