congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
119,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954.0,,0.936,-0.352,-16.77193,0.9723,597,3,,0.75,0.351,606,2
119,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982.0,,0.588,0.575,-6.33475,0.9896,606,3,,0.723,0.467,605,1
119,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.203,-0.304,-82.73101,0.8708,598,36,,0.165,-0.199,3539,12
119,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.476,0.159,-51.79463,0.9173,600,14,,0.303,0.316,1717,5
119,Senate,21502,61,0,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.363,0.148,-75.59108,0.86661,528,34,,-0.313,0.292,2629,5
119,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964.0,,-0.263,0.281,-70.4086,0.88624,583,37,,-0.295,0.283,1091,3
119,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950.0,,0.427,0.338,-4.55389,0.99255,609,2,,0.418,0.299,4165,12
119,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977.0,,0.579,0.195,-6.51257,0.98936,609,1,,0.515,0.263,1888,6
119,Senate,20104,71,0,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.352,-0.118,-74.65615,0.88481,610,42,,-0.373,-0.055,5670,13
119,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973.0,,-0.426,-0.252,-45.85344,0.92559,593,29,,-0.519,-0.105,1897,2
119,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964.0,,-0.24,-0.184,-60.9917,0.9047,609,23,,-0.279,-0.253,3098,8
119,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952.0,,-0.279,-0.026,-68.74519,0.89359,611,23,,-0.294,-0.021,920,2
119,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973.0,,-0.286,-0.255,-85.1546,0.8683,603,40,,-0.512,-0.587,3355,9
119,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.434,-0.157,-34.19535,0.94566,612,15,,-0.425,-0.185,5956,7
119,Senate,21706,11,0,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962.0,,-0.383,-0.128,-38.12688,0.94017,618,14,,-0.439,-0.253,2282,4
119,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963.0,,-0.238,-0.217,-69.04104,0.89044,595,23,,-0.257,-0.205,3928,8
119,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971.0,,0.616,-0.184,-0.00062,0.99991,7,0,,0.569,0.415,3311,7
119,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952.0,,0.718,-0.025,-11.56117,0.9815,619,3,,0.828,-0.008,1657,3
119,Senate,42506,43,0,FL,200,,,"MOODY, Ashley Brooke",M001244,1975.0,,0.739,0.215,-8.21185,0.98667,612,5,,0.739,0.215,109,0
119,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987.0,,-0.46,0.475,-42.79275,0.92792,572,15,,-0.547,0.797,718,2
119,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969.0,,-0.426,0.418,-60.04693,0.90596,608,28,,-0.466,0.621,1135,2
119,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947.0,,-0.514,-0.092,-28.44808,0.95501,618,9,,-0.535,-0.099,4909,9
119,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.449,-0.113,-36.75707,0.9418,613,19,,-0.481,-0.22,2238,7
119,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951.0,,0.505,0.291,-6.64114,0.98926,615,2,,0.562,0.247,4345,16
119,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943.0,,0.551,0.384,-7.14535,0.98834,609,4,,0.737,0.381,2776,8
119,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944.0,,-0.342,-0.31,-84.70328,0.86975,607,38,,-0.266,-0.418,10320,21
119,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968.0,,-0.344,0.061,-57.71009,0.90371,570,36,,-0.399,-0.164,3082,6
119,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972.0,,0.438,-0.022,-9.06899,0.98536,615,2,,0.502,0.346,2050,7
119,Senate,21702,22,0,IN,200,,,"BANKS, James E.",B001299,1979.0,,0.648,0.014,-8.06451,0.98691,612,4,,0.684,0.011,1274,4
119,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933.0,,0.362,-0.035,-15.32364,0.97559,620,6,,0.421,0.15,7497,25
119,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970.0,,0.538,-0.033,-11.51224,0.98136,612,4,,0.638,0.174,1867,5
119,Senate,21734,32,0,KS,200,,,"MARSHALL, Roger Wayne",M001198,1960.0,,0.607,0.139,-8.84512,0.9857,614,6,,0.599,0.119,1736,4
119,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954.0,,0.414,0.22,-13.38111,0.97761,591,5,,0.402,0.196,3783,14
119,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942.0,,0.402,0.017,-47.42335,0.9199,568,16,,0.321,-0.093,2822,20
119,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963.0,,0.891,-0.454,-195.71506,0.72088,598,80,,0.497,-0.867,1101,7
119,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957.0,,0.463,-0.047,-12.8789,0.97804,580,6,,0.46,-0.02,2423,8
119,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951.0,,0.561,-0.154,-17.74078,0.9712,607,8,,0.701,-0.235,1095,4
119,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944.0,,-0.167,-0.19,-103.71247,0.84365,610,42,,-0.172,-0.195,3026,6
119,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952.0,,0.124,-0.505,-90.96871,0.86353,620,53,,0.189,-0.4,6525,14
119,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959.0,,-0.397,-0.226,-34.29092,0.94516,608,15,,-0.476,-0.503,6606,11
